nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Garaje,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Balcón,Terraza,Jardín,Piscina,Orientación,Soleado,No se aceptan mascotas,Amueblado,Trastero,Superficie solar,Se aceptan mascotas,Chimenea,Gastos de comunidad,Agua,Gas,Luz,Interior,Urbanizado,Calle alumbrada,Calle asfaltada,Tipo de casa
Apartamento en Carrer de Verdi,Engel & Völkers MMC Barcelona,24 €/m²,1.950 €/mes,80 m²,https://www.pisos.com/alquilar/apartamento-la_vila_de_gracia08012-50063894059_101800/,Anuncio actualizado el 27/01/2025,"D, C","D, C",barcelona,80 m²,,2,2,2ª,,Más de 50 años,,IF76306-I-00L5GP-W-02Y0MK,1,,,,,,,Central,N/A,,N/A,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,
Apartamento en Lluminetes,Engel & Völkers MMC Barcelona,90 €/m²,4.500 €/mes,50 m²,https://www.pisos.com/alquilar/apartamento-lluminetes-38401018744_101800/,Anuncio actualizado el 20/05/2024,"D, D","D, D",barcelona,50 m²,,1,1,2ª,,Menos de 5 años,,IF76306-I-00KKFJ-W-02RU2W,1,,,,,,,Central,N/A,,N/A,,,,,N/A,,,N/A,,,Al mar,,,N/A,,,,,,,,,,,,,
Apartamento en Plaça de la Rosa dels Vents,Engel & Völkers MMC Barcelona,140 €/m²,7.000 €/mes,50 m²,https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample08010-24186436469_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,barcelona,50 m²,,1,1,10ª,,,,IF76306-I-00K7YS-W-02P1GL,1,,,,,,,Central,N/A,,N/A,,,,,N/A,,,N/A,,Propia,Suroeste,,,N/A,,,,,,,,,,,,,
Casa en Carrer de Josep Serrano,Engel & Völkers MMC Barcelona,45 €/m²,17.000 €/mes,376 m²,https://www.pisos.com/alquilar/casa-can_baro08024-50883251548_101800/,Anuncio actualizado el 09/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,376 m²,,,,,,Menos de 5 años,,IF76306-I-00L6CQ-W-02XD2J,1,,,,,,,Central,N/A,,N/A,1,,,,,,,N/A,,Propia,,,,N/A,,,,,,,,,,,,,
Apartamento en Carrer de Sants,Engel & Völkers MMC Barcelona,27 €/m²,1.900 €/mes,70 m²,https://www.pisos.com/alquilar/apartamento-sants_montjuic_sants08014-50878673107_101800/,Anuncio actualizado el 15/01/2025,"D, D","D, D",barcelona,70 m²,,3,2,,,,,IF76306-I-00L6IR-W-02YCVM,1,,,,,,,Central,N/A,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Ático en Plaça de la Universitat,Engel & Völkers MMC Barcelona,43 €/m²,5.000 €/mes,115 m²,https://www.pisos.com/alquilar/atico-eixample_sant_antoni08011-42506529311_101800/,Anuncio actualizado el 05/08/2024,"F, E","F, E",barcelona,115 m²,,3,2,,,,,IF76306-I-00KX68-W-02V8E7,1,,,,,,,Central,N/A,,,,,,,N/A,,,N/A,,Propia,,,,N/A,,,,,,,,,,,,,
Apartamento en La Nova Esquerra de l'Eixample,Engel & Völkers MMC Barcelona,21 €/m²,2.550 €/mes,120 m²,https://www.pisos.com/alquilar/apartamento-la_nova_esquerra_de_eixample08015-49239474868_101800/,Anuncio actualizado el 22/01/2025,"E, D","E, D",barcelona,120 m²,,2,1,1ª,,,,IF76306-I-00L57S-W-02X0U5,1,,,,,,,Central,N/A,,N/A,,,,,N/A,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Piso en Cementiri Vell,Alquila Tu Hogar -,11 €/m²,760 €/mes,68 m²,https://www.pisos.com/alquilar/piso-cementiri_vell08222-46671728914_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,68 m²,,1,1,2ª,N/A,,En buen estado,SA4376-2101/21010016/39,,,,,,,N/A,,N/A,,,,,N/A,,N/A,,,N/A,,,,,,,,,N/A,,,N/A,,,,,,,
Apartamento en La Marina del Prat Vermell-Zona Franca-Port,Engel & Völkers MMC Barcelona,25 €/m²,1.390 €/mes,54 m²,https://www.pisos.com/alquilar/apartamento-la_marina_del_prat_vermell_zona_franca_port08038-51684436828_101800/,Anuncio actualizado el 06/02/2025,"A, A","A, A",barcelona,54 m²,,1,1,,,,,IF76306-I-00L7BA-W-02YKIO,,,,,,,,Central,N/A,,,,,,,N/A,,,,Privado,,,,,,,,,,,,,,,,,,
Chalet en Arenys de Mar,FIRHABIT,9 €/m²,1.194 €/mes,130 m²,https://www.pisos.com/alquilar/chalet-arenys_de_mar_centro_urbano-51681180299_100500/,Anuncio actualizado el 15/02/2025,"G, F","G, F",barcelona,130 m²,108 m²,4,2,,,Más de 50 años,En buen estado,SA1305-CL0037,,,,,,,,,,,,,,,,,,,,,,,,,,,220 m²,,,,,,,,,,,
Loft en El Parc-La Llacuna del Poblenou,Engel & Völkers MMC Barcelona,15 €/m²,3.300 €/mes,220 m²,https://www.pisos.com/alquilar/loft-el_parc_la_llacuna_del_poblenou08018-50876991826_101800/,Anuncio actualizado el 14/01/2025,"B, B","B, B",barcelona,220 m²,,2,3,5ª,,,,IF76306-I-00L6CO-W-02Y9AD,1,,,,,,,Central,,,N/A,,,,,N/A,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Piso en La Barceloneta,MACROFINCAS S.L,28 €/m²,2.200 €/mes,78 m²,https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-35911948397_100500/,Anuncio actualizado el 14/02/2025,"E, D","E, D",barcelona,78 m²,64 m²,2,2,1ª,,Entre 10 y 20 años,,SA565-MCB5662ML/1454,1,,Parquet,,,,N/A,N/A,,,,,,,,N/A,,,,,,Sureste,,,N/A,,,,,,N/A,,,,,,,
Dúplex en Centre,Qualifinques,8 €/m²,980 €/mes,115 m²,https://www.pisos.com/alquilar/duplex-caputxins_santa_clara_hospital-50929855020_225000/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona,115 m²,115 m²,3,2,2ª,N/A,Menos de 5 años,A estrenar,2250-004121,,,,,,,,Gas natural,,,,1,,,,,,N/A,,,,Oeste,N/A,,,,,,,,,,,,,,,
Casa en Montmar,Engel & Völkers MMC Barcelona,15 €/m²,5.000 €/mes,327 m²,https://www.pisos.com/alquilar/casa-montmar-50863293662_101800/,Anuncio actualizado el 03/02/2025,"F, F","F, F",barcelona,327 m²,,3,4,,,Entre 10 y 20 años,,IF76306-I-00L70U-W-02YJQ4,1,,,,,,,Central,N/A,,N/A,1,,,,,,,N/A,Privado,,,,,N/A,N/A,,,,,,,,,,,,
Casa en Arxius,Engel & Völkers MMC Barcelona,11 €/m²,7.000 €/mes,610 m²,https://www.pisos.com/alquilar/casa-arxius08195-41758535865_101800/,Anuncio actualizado el 11/10/2024,"E, E","E, E",barcelona,610 m²,,5,5,,,Entre 20 y 30 años,,IF76306-I-00KVUN-W-02TQQ0,1,,,,,,,Central,N/A,,N/A,1,,,,,,,N/A,Privado,Propia,,,,,N/A,782 m²,,,,,,,,,,,
Apartamento en Carrer d'Aragó,Engel & Völkers MMC Barcelona,43 €/m²,3.500 €/mes,81 m²,https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample08007-50052937493_101800/,Anuncio actualizado el 10/02/2025,"E, E","E, E",barcelona,81 m²,,2,2,4ª,,Más de 50 años,,IF76306-I-00L5N0-W-02Y2PG,1,,,,,,,Central,N/A,,N/A,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
"Piso en Carrer de Sant Jordi, 1",UNICCO BCN,13 €/m²,1.600 €/mes,116 m²,https://www.pisos.com/alquilar/piso-sants_montjuic_sants08028-51675532504_519130/,Anuncio actualizado el 18/02/2025,"B, C","B, C",barcelona,116 m²,85 m²,2,2,2ª,N/A,Menos de 5 años,En buen estado,4519130-97484738,,,Parquet,N/A,Aluminio,,Frío y calor,Central,N/A,N/A,N/A,,N/A,N/A,,N/A,N/A,N/A,Terraza solarium en la cubierta,,,Sureste,Todo el dia,,Semi amueblado,Opcional,,N/A,,,,,,,,,,
Apartamento en Carrer d'Aragó,Engel & Völkers MMC Barcelona,32 €/m²,5.700 €/mes,175 m²,https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample08007-50026105599_101800/,Anuncio actualizado el 09/12/2024,"E, E","E, E",barcelona,175 m²,,3,2,6ª,,Más de 50 años,,IF76306-I-00L5MS-W-02Y2AN,1,,,,,,,Central,N/A,,N/A,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Apartamento en Carrer de Copons,Engel & Völkers MMC Barcelona,26 €/m²,4.000 €/mes,150 m²,https://www.pisos.com/alquilar/apartamento-el_barri_gotic08002-49254407958_101800/,Anuncio actualizado el 07/11/2024,"G, F","G, F",barcelona,150 m²,,3,2,1ª,,Menos de 5 años,,IF76306-I-00L4LE-W-02XJVD,1,,,,,,,Central,N/A,,,1,,,,N/A,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Casa en La Geltrú-Casernes-Sant Jordi,Engel & Völkers MMC Barcelona,25 €/m²,8.000 €/mes,310 m²,https://www.pisos.com/alquilar/casa-la_geltru_casernes_armanya-42559086175_101800/,Anuncio actualizado el 30/08/2024,"D, D","D, D",barcelona,310 m²,,5,4,,,,,IF76306-I-00KWMJ-W-02UWNE,1,,,,,,,Central,N/A,,N/A,1,,,,,,,N/A,Privado,,Sureste,,,N/A,N/A,1.500 m²,,,,,,,,,,,
Apartamento en Carrer de Cartagena,Engel & Völkers MMC Barcelona,44 €/m²,2.460 €/mes,55 m²,https://www.pisos.com/alquilar/apartamento-la_sagrada_familia08013-49262408384_101800/,Anuncio actualizado el 06/12/2024,"C, B","C, B",barcelona,55 m²,,1,1,,,Más de 50 años,,IF76306-I-00L5C1-W-02XZ1B,1,,,,,,,Central,N/A,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Casa adosada en Port Balís-Platges,Engel & Völkers MMC Barcelona,11 €/m²,2.400 €/mes,214 m²,https://www.pisos.com/alquilar/casa_adosada-port_balis_platges-49236378478_101800/,Anuncio actualizado el 06/12/2024,"E, E","E, E",barcelona,214 m²,,4,3,,,Entre 30 y 50 años,,IF76306-I-00L59W-W-02XS1M,,,,,,,,Central,,,,1,,,,,,,,Privado,,,,,,,396 m²,,,,,,,,,,,Adosada
Apartamento en Carrer d'Osi,Engel & Völkers MMC Barcelona,37 €/m²,2.230 €/mes,60 m²,https://www.pisos.com/alquilar/apartamento-sarria_sant_gervasi_sarria08034-50099578219_101800/,Anuncio actualizado el 11/12/2024,"E, E","E, E",barcelona,60 m²,,1,1,1ª,,Entre 10 y 20 años,,IF76306-I-00L5PS-W-02Y3AQ,1,,,,,,,Central,N/A,,,1,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,70 €/m²,6.300 €/mes,90 m²,https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample08008-28396639882_101800/,Anuncio actualizado el 21/05/2024,"C, C","C, C",barcelona,90 m²,,2,2,2ª,,,,IF76306-I-00KE58-W-02QN5H,1,,,,,,,Central,N/A,,N/A,,,,,N/A,,,,,Propia,,,,N/A,N/A,,,,,,,,,,,,
Casa adosada en El Putxet-El Farró,Engel & Völkers MMC Barcelona,28 €/m²,5.700 €/mes,202 m²,https://www.pisos.com/alquilar/casa_adosada-el_putxet_el_farro08006-51733670499_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,202 m²,,4,2,,,Entre 5 y 10 años,,IF76306-I-00L75M-W-02XUIG,1,,,,,,,Central,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,Adosada
Apartamento en Esplugues de Llobregat,Engel & Völkers MMC Barcelona,21 €/m²,2.800 €/mes,130 m²,https://www.pisos.com/alquilar/apartamento-esplugues_de_llobregat_centro_urbano08950-50901409951_101800/,Anuncio actualizado el 07/01/2025,"A, A","A, A",barcelona,130 m²,,3,2,,,,,IF76306-I-00L69V-W-02Y7PK,1,,,,,,,Central,N/A,,,1,,,,N/A,,,N/A,Privado,Propia,,,,,N/A,,,,,,,,,,,,
Casa en Pedralbes,Engel & Völkers MMC Barcelona,25 €/m²,7.000 €/mes,270 m²,https://www.pisos.com/alquilar/casa-pedralbes08034-46748669275_101800/,Anuncio actualizado el 09/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,270 m²,,4,4,,,Menos de 5 años,,IF76306-I-00L2BS-W-02WWRJ,,,,,,,,Central,N/A,,N/A,,,,,,,,,Privado,,,,,,,,,,,,,,,,,,
Casa en Gavà Mar,Engel & Völkers MMC Barcelona,17 €/m²,4.300 €/mes,239 m²,https://www.pisos.com/alquilar/casa-gava_mar-45099891499_101800/,Anuncio actualizado el 19/11/2024,Error al procesar consumo,Error al procesar emisiones,barcelona,239 m²,,5,3,,,Entre 30 y 50 años,,IF76306-I-00L0E6-W-02W7VR,1,,,,,,,Central,N/A,,N/A,1,,,,,,,N/A,Privado,Propia,,,,N/A,,,,,,,,,,,,,
Apartamento en El Camp d'en Grassot-Gràcia Nova,Engel & Völkers MMC Barcelona,20 €/m²,2.500 €/mes,125 m²,https://www.pisos.com/alquilar/apartamento-el_camp_en_grassot_gracia_nova08024-50009895490_101800/,Anuncio actualizado el 19/12/2024,"D, D","D, D",barcelona,125 m²,,3,2,,,,,IF76306-I-00L5YQ-W-02Y626,,,,,,,,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Carrer de Grau i Torras,Engel & Völkers MMC Barcelona,40 €/m²,1.600 €/mes,40 m²,https://www.pisos.com/alquilar/apartamento-ciutat_vella_la_barceloneta08003-50028017294_101800/,Anuncio actualizado el 07/12/2024,"E, E","E, E",barcelona,40 m²,,1,1,,,,,IF76306-I-00L5FO-W-02Y091,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer del Doctor Aiguader,Don Casa,27 €/m²,2.200 €/mes,80 m²,https://www.pisos.com/alquilar/piso-ciutat_vella_la_barceloneta08003-50914207568_500869/,Anuncio actualizado el 07/02/2025,"E, E","E, E",barcelona,80 m²,78 m²,2,1,1ª,N/A,Entre 10 y 20 años,En buen estado,500869-BADC4260,,,,,,,,,N/A,N/A,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,
Dúplex en El Masnou,Engel & Völkers MMC Barcelona,20 €/m²,2.800 €/mes,138 m²,https://www.pisos.com/alquilar/duplex-el_masnou_centro_urbano-50933239586_101800/,Anuncio actualizado el 21/01/2025,"A, A","A, A",barcelona,138 m²,,4,2,2ª,,,,IF76306-I-00L6C8-W-02Y81O,,,,,,,,Central,N/A,,,1,,,,N/A,,,N/A,,Propia,,,,,,,,,,,,,,,,,
Ático en Sant Gervasi-La Bonanova,Engel & Völkers MMC Barcelona,23 €/m²,3.950 €/mes,170 m²,https://www.pisos.com/alquilar/atico-sant_gervasi_la_bonanova08035-45909306574_101800/,Anuncio actualizado el 22/10/2024,Error al procesar consumo,Error al procesar emisiones,barcelona,170 m²,,3,3,3ª,,Entre 20 y 30 años,,IF76306-I-00L0N2-W-02VREL,1,,,,,,,Central,N/A,,,1,,,,N/A,,,N/A,,Propia,,,,N/A,,,,,,,,,,,,,
Apartamento en Travessera de Gràcia,Engel & Völkers MMC Barcelona,16 €/m²,2.200 €/mes,131 m²,https://www.pisos.com/alquilar/apartamento-la_vila_de_gracia08006-50837098762_101800/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona,131 m²,,4,2,,,,,IF76306-I-00L71F-W-02YHXK,1,,,,,,,,N/A,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,
Loft en El Parc-La Llacuna del Poblenou,Engel & Völkers MMC Barcelona,15 €/m²,3.300 €/mes,211 m²,https://www.pisos.com/alquilar/loft-el_parc_la_llacuna_del_poblenou08018-45896745017_101800/,Anuncio actualizado el 27/01/2025,"D, D","D, D",barcelona,211 m²,,3,2,5ª,,Más de 50 años,,IF76306-I-00L14E-W-02WFK8,1,,,,,,,Central,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,21 €/m²,4.200 €/mes,192 m²,https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample08010-43380787593_101800/,Anuncio actualizado el 16/09/2024,"B, B","B, B",barcelona,192 m²,,4,2,,,Más de 50 años,,IF76306-I-00KXLN-W-02VDAT,1,,,,,,,Central,N/A,,N/A,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Casa en Vallvidrera-El Tibidabo-Les Planes,Engel & Völkers MMC Barcelona,13 €/m²,4.995 €/mes,359 m²,https://www.pisos.com/alquilar/casa-vallvidrera_el_tibidabo_les_planes08017-48395325924_101800/,Anuncio actualizado el 04/02/2025,"E, E","E, E",barcelona,359 m²,,5,6,,,Más de 50 años,,IF76306-I-00L465-W-02X6ZR,1,,,,,,,Central,N/A,,N/A,1,,,,,,,N/A,Privado,Propia,,,,N/A,N/A,554 m²,,,,,,,,,,,
Chalet unifamiliar en Centre,SPAIN REALTY ESTATE,1 €/m²,1.920 €,1.000 m²,https://www.pisos.com/alquilar/chalet_unifamiliar-sitges_centre-50842388096_519306/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,1.000 m²,980 m²,5,2,,,Entre 5 y 10 años,En buen estado,"4519306-GRAN VILLA EN SITGES, VACACIONAL",Más de 2,N/A,,N/A,,,Frío y calor,Eléctrica,N/A,N/A,N/A,1,,N/A,N/A,,,,N/A,Privado,Propia,,,,N/A,,1.060 m²,,,,,,,,N/A,N/A,N/A,
Piso en Carrer de la Reina Amàlia,AgencySL,21 €/m²,1.700 €/mes,80 m²,https://www.pisos.com/alquilar/piso-el_raval08001-31758978412_525584/,Anuncio actualizado el 07/02/2025,"E, E","E, E",barcelona,80 m²,80 m²,2,2,3ª,A calle reina amalia,Menos de 5 años,Reformado,525584-SL0039,2,,Gres,,PVC,,Frío y calor,Central,N/A,N/A,,,,,,N/A,,N/A,N/A,Comunitario,Comunitaria,,N/A,,,,,,,,,,,,,,,
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,40 €/m²,2.800 €/mes,70 m²,https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample08009-50842372776_101800/,Anuncio actualizado el 10/01/2025,"F, E","F, E",barcelona,70 m²,,3,2,3ª,,,,IF76306-I-00L6DE-W-02YAT2,1,,,,,,,Central,N/A,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Barcelonés,IAD ESPAÑA,17 €/m²,1.300 €/mes,76 m²,https://www.pisos.com/alquilar/piso-el_guinardo08041-51679919708_108700/,Anuncio actualizado el 15/02/2025,"E, E","E, E",barcelona,76 m²,76 m²,3,1,,,Más de 50 años,,UVC882-32044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Esplugues de Llobregat,Engel & Völkers MMC Barcelona,30 €/m²,1.900 €/mes,62 m²,https://www.pisos.com/alquilar/apartamento-esplugues_de_llobregat_centro_urbano08950-50879789592_101800/,Anuncio actualizado el 18/02/2025,"A, A","A, A",barcelona,62 m²,,2,2,2ª,,Menos de 5 años,,IF76306-I-00L6VG-W-02YHIQ,1,,,,,,,Central,N/A,,,1,,,,N/A,,,N/A,Privado,Propia,,,,N/A,,,,,,,,,,,,,
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,24 €/m²,5.500 €/mes,225 m²,https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample08037-50885613555_101800/,Anuncio actualizado el 27/01/2025,"E, E","E, E",barcelona,225 m²,,5,4,,,Más de 50 años,,IF76306-I-00L6VS-W-02YI0J,,,,,,,,Central,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Apartamento en La Sagrada Família,Engel & Völkers MMC Barcelona,32 €/m²,2.500 €/mes,77 m²,https://www.pisos.com/alquilar/apartamento-la_sagrada_familia08025-50876598920_101800/,Anuncio actualizado el 13/01/2025,"A, A","A, A",barcelona,77 m²,,2,2,6ª,,Menos de 5 años,,IF76306-I-00L6FB-W-02Y8GY,,,,,,,,Central,N/A,,N/A,1,,,,N/A,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Apartamento en Carrer de la Carassa,Engel & Völkers MMC Barcelona,15 €/m²,2.300 €/mes,144 m²,https://www.pisos.com/alquilar/apartamento-sant_pere_santa_caterina_la_ribera08003-50030612948_101800/,Anuncio actualizado el 05/12/2024,"E, E","E, E",barcelona,144 m²,,1,2,,,Más de 50 años,,IF76306-I-00L5JI-W-02Y1J8,1,,,,,,,Central,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Ático en El Barri Gòtic,Engel & Völkers MMC Barcelona,23 €/m²,2.350 €/mes,100 m²,https://www.pisos.com/alquilar/atico-el_barri_gotic08002-48391844853_101800/,Anuncio actualizado el 09/12/2024,"E, D","E, D",barcelona,100 m²,,2,2,,,,,IF76306-I-00L3OZ-W-02X7NL,,,,,,,,Central,,,N/A,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,
Apartamento en Les Corts,Engel & Völkers MMC Barcelona,23 €/m²,1.800 €/mes,76 m²,https://www.pisos.com/alquilar/apartamento-les_corts_barrio08014-50839734620_101800/,Anuncio actualizado el 09/01/2025,"D, D","D, D",barcelona,76 m²,,2,1,2ª,,,,IF76306-I-00L6BR-W-02Y86R,1,,,,,,,Central,N/A,,,1,,,,N/A,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Apartamento en El Camp d'en Grassot-Gràcia Nova,Engel & Völkers MMC Barcelona,27 €/m²,1.380 €/mes,50 m²,https://www.pisos.com/alquilar/apartamento-el_camp_en_grassot_gracia_nova08024-51675214593_101800/,Anuncio actualizado el 14/02/2025,"E, E","E, E",barcelona,50 m²,,1,1,,,,,IF76306-I-00L78O-W-02YLIU,,,,,,,,Central,N/A,,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,
Apartamento en Carrer de Cartagena,Engel & Völkers MMC Barcelona,44 €/m²,2.460 €/mes,55 m²,https://www.pisos.com/alquilar/apartamento-la_sagrada_familia08013-50847666222_101800/,Anuncio actualizado el 02/01/2025,"C, B","C, B",barcelona,55 m²,,1,1,,,Más de 50 años,,IF76306-I-00L65I-W-02Y7ZR,1,,,,,,,Central,N/A,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,23 €/m²,3.700 €/mes,157 m²,https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample08008-49250327971_101800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona,157 m²,,3,2,2ª,,Entre 20 y 30 años,,IF76306-I-00L5BK-W-02XYW9,1,,,,,,,Central,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,
Apartamento en Travessera de Gràcia,Engel & Völkers MMC Barcelona,17 €/m²,2.300 €/mes,134 m²,https://www.pisos.com/alquilar/apartamento-la_vila_de_gracia08006-50839109259_101800/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona,134 m²,,5,3,,,,,IF76306-I-00L71E-W-02YHXH,1,,,,,,,Central,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,47 €/m²,3.300 €/mes,70 m²,https://www.pisos.com/alquilar/apartamento-la_dreta_de_eixample08010-50851115973_101800/,Anuncio actualizado el 30/01/2025,"A, A","A, A",barcelona,70 m²,,1,1,1ª,,Entre 5 y 10 años,,IF76306-I-00L71T-W-02YHTA,1,,,,,,,Central,N/A,,N/A,,,,,N/A,,,,,Propia,,,,N/A,,,,,,,,,,,,,
Apartamento en Pedralbes,Engel & Völkers MMC Barcelona,28 €/m²,7.500 €/mes,266 m²,https://www.pisos.com/alquilar/apartamento-pedralbes08034-51766615973_101800/,Anuncio actualizado el 11/02/2025,"E, E","E, E",barcelona,266 m²,,5,4,7ª,,Más de 50 años,,IF76306-I-00L7GD-W-02YR4Z,1,,,,,,,Central,N/A,,,1,,,,N/A,,,,,Propia,,,,N/A,,,,,,,,,,,,,
Apartamento en El Putxet-El Farró,Engel & Völkers MMC Barcelona,27 €/m²,2.500 €/mes,90 m²,https://www.pisos.com/alquilar/apartamento-el_putxet_el_farro08006-51686639624_101800/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona,90 m²,,2,2,2ª,,Entre 20 y 30 años,,IF76306-I-00L7O5-W-02YM8J,,,,,,,,Central,N/A,,,,,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Piso en Sant Andreu,"DESARROLLO SANT ANDREU, S.L.U",11 €/m²,1.412 €/mes,120 m²,https://www.pisos.com/alquilar/piso-sant_andreu_barrio08030-50878635924_100200/,Anuncio actualizado el 16/01/2025,"E, E","E, E",barcelona,120 m²,,4,,,,Entre 20 y 30 años,En buen estado,TC586-597394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en El Raval,Engel & Völkers MMC Barcelona,34 €/m²,1.400 €/mes,41 m²,https://www.pisos.com/alquilar/apartamento-el_raval08001-50862575240_101800/,Anuncio actualizado el 06/02/2025,"B, A","B, A",barcelona,41 m²,,1,1,2ª,,Menos de 5 años,,IF76306-I-00L6XR-W-02YHJE,1,,,,,,,Central,N/A,,N/A,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,
Ático en Sarrià,Engel & Völkers MMC Barcelona,25 €/m²,8.000 €/mes,320 m²,https://www.pisos.com/alquilar/atico-sarria_sant_gervasi_sarria08034-47553355590_101800/,Anuncio actualizado el 19/09/2024,Error al procesar consumo,Error al procesar emisiones,barcelona,320 m²,,2,3,,,Entre 30 y 50 años,,IF76306-I-00L1TQ-W-02WOYT,1,,,,,,,Central,N/A,,N/A,1,,,,N/A,,,N/A,,Propia,,,,N/A,,,,,,,,,,,,,
Piso en Ègara,Alquila Tu Hogar -,15 €/m²,745 €/mes,48 m²,https://www.pisos.com/alquilar/piso-egara08226-44241932105_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona,48 m²,,1,1,2ª,N/A,,En buen estado,SA4376-2101/21010016/79,,,Gres,,,,,,N/A,,,1,,N/A,,N/A,,,N/A,,,Norte,,,,,,N/A,,,,,,,,,,
Casa en Llevantina-Montgavina-Quint-Mar-Garraf,Engel & Völkers MMC Barcelona,15 €/m²,5.300 €/mes,353 m²,https://www.pisos.com/alquilar/casa-llevantina_montgavina_quint_mar_garraf08870-50044056068_101800/,Anuncio actualizado el 20/12/2024,"B, B","B, B",barcelona,353 m²,,4,4,,,Entre 10 y 20 años,,IF76306-I-00L605-W-02Y5U8,1,,,,,,,Central,N/A,,N/A,1,,,,,,,N/A,Privado,Propia,,,,N/A,N/A,600 m²,,,,,,,,,,,
