nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Superficie útil,Planta,Gastos de comunidad,Tipo suelo,Trastero,Puerta blindada,Ascensor,Balcón,Orientación,Exterior,Amueblado,Carpintería interior,Vidrios dobles,Carpintería exterior,Teléfono,Cocina equipada,Comedor,Portero automático,Sistema de seguridad,Soleado,Se aceptan mascotas,Superficie solar,Urbanizado,Armarios empotrados,Gas,Lavadero,Adaptado a personas con movilidad reducida,Agua,Chimenea,Tipo de casa,Luz,Calle alumbrada,Calle asfaltada,Interior,No se aceptan mascotas
Casa en Avinguda dels Pinars,Engel & Völkers MMC Barcelona,1.948 €/m²,495.000 €,254 m²,https://www.pisos.com/comprar/casa-vallirana_centro_urbano-44253333696_101800/,Anuncio actualizado el 11/06/2024,"E, E","E, E",baix_llobregat (BCN),254 m²,4,3,Entre 20 y 30 años,,IF76306-I-00Y96M-W-02TD8F,,Central,1,,Privado,,,,,,,,,,,,,,,,,,,,,,,835 m²,,,,,,,,,,,,,
Casa en Montmar,Engel & Völkers MMC Barcelona,4.121 €/m²,1.595.000 €,387 m²,https://www.pisos.com/comprar/casa-montmar-42509760278_101800/,Anuncio actualizado el 12/09/2024,"E, D","E, D",baix_llobregat (BCN),387 m²,6,5,Más de 50 años,,IF76306-I-00Y2CF-W-02RJW6,,Central,1,N/A,Privado,Propia,,,,,N/A,,,,,,,,,,,N/A,,,,,,641 m²,,1,,,,,,,,,,,
Casa en Sant Just Desvern,Engel & Völkers MMC Barcelona,5.344 €/m²,1.240.000 €,232 m²,https://www.pisos.com/comprar/casa-sant_just_desvern_centro_urbano08960-48377549274_101800/,Anuncio actualizado el 24/01/2025,"D, D","D, D",baix_llobregat (BCN),232 m²,4,4,Más de 50 años,,IF76306-I-00YQGO-W-02X0SQ,,Central,1,N/A,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,209 m²,,1,,N/A,,,,,,,,,
Piso en El Torrent Ballester-Can Palmer-Can Batllori,Engel & Völkers MMC Barcelona,3.619 €/m²,340.198 €,94 m²,https://www.pisos.com/comprar/piso-el_torrent_ballester_can_palmer_can_batllori-5094647242_109700/,Anuncio actualizado el 23/01/2025,"B, A","B, A",baix_llobregat (BCN),94 m²,3,2,,A estrenar,IF76306-D-000LCM,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Lluís,GROCASA,3.500 €/m²,350.000 €,100 m²,https://www.pisos.com/comprar/piso-les_bobiles_avinguda_diagonal_les_colomeres-50924852176_109300/,Anuncio actualizado el 25/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),100 m²,3,1,Entre 20 y 30 años,,EP743-347799,N/A,,Privado,,N/A,,90 m²,2ª,75,Parquet,,N/A,N/A,N/A,Ne,,,,,Aluminio,,Americana,,,,,,,,,,,,,,,,,,,
Apartamento en Vallirana,Engel & Völkers MMC Barcelona,3.081 €/m²,265.000 €,86 m²,https://www.pisos.com/comprar/apartamento-vallirana_centro_urbano-50881958267_101800/,Anuncio actualizado el 31/01/2025,"E, E","E, E",baix_llobregat (BCN),86 m²,3,2,Entre 10 y 20 años,,IF76306-I-00YZZ0-W-02YDOW,,Central,1,,,,,2ª,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Molins de Rei,Engel & Völkers MMC Barcelona,2.396 €/m²,695.000 €,290 m²,https://www.pisos.com/comprar/casa_adosada-molins_de_rei_centro_urbano-50918802558_101800/,Anuncio actualizado el 30/01/2025,"E, D","E, D",baix_llobregat (BCN),290 m²,5,4,Entre 30 y 50 años,,IF76306-I-00YZP9-W-02YGNG,,Central,1,N/A,Privado,Propia,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,1,,,,,,Adosada,,,,,
Casa en El Poal,Engel & Völkers MMC Barcelona,6.022 €/m²,2.650.000 €,440 m²,https://www.pisos.com/comprar/casa-castelldefels_el_poal-49239569223_101800/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),440 m²,4,5,Menos de 5 años,,IF76306-I-00YTXX-W-02V5Z5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Gavá,"Punt Sagrada Família, S.L.",2.971 €/m²,419.000 €,141 m²,https://www.pisos.com/comprar/piso-can_tintorer_can_tries-50071491352_103700/,Anuncio actualizado el 17/02/2025,"E, E","E, E",baix_llobregat (BCN),141 m²,3,2,,A estrenar,BLU5-LCB32764,,N/A,N/A,N/A,N/A,,104 m²,,,,,,N/A,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Casa unifamiliar en Vallirana,SAFTI ESPAÑA,3.113 €/m²,165.000 €,53 m²,https://www.pisos.com/comprar/casa_unifamiliar-vallirana_centro_urbano-50913598323_100500/,Anuncio actualizado el 06/02/2025,"F, E","F, E",baix_llobregat (BCN),53 m²,2,1,Entre 30 y 50 años,,SA3541-REF_31466,N/A,N/A,,N/A,,N/A,42 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unifamiliar,,,,,
Casa en Esplugues de Llobregat,Engel & Völkers MMC Barcelona,6.643 €/m²,970.000 €,146 m²,https://www.pisos.com/comprar/casa-esplugues_de_llobregat_centro_urbano08950-50916424285_101800/,Anuncio actualizado el 10/02/2025,"E, E","E, E",baix_llobregat (BCN),146 m²,3,2,Más de 50 años,,IF76306-I-00YYKH-W-02Y5RA,,Central,1,,Privado,,,,,,,,,,,,,,,,,,,,,,,330 m²,,,,,,,,,,,,,
Casa adosada en Carrer d'Iscle Soler,FINCADOR,2.363 €/m²,390.000 €,165 m²,https://www.pisos.com/comprar/casa_adosada-el_pedro-43417609138_101800/,Anuncio actualizado el 20/02/2025,"E, D","E, D",baix_llobregat (BCN),165 m²,4,2,,,IF76237-CH21COR-C(V)23,,Central,,N/A,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,165 m²,,,,,,,,Adosada,,,,,
Casa en Marianao,Engel & Völkers MMC Barcelona,2.468 €/m²,580.000 €,235 m²,https://www.pisos.com/comprar/casa-marianao-50068327287_101800/,Anuncio actualizado el 24/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),235 m²,4,3,Entre 20 y 30 años,,IF76306-I-00YWXA-W-02XK44,,Central,1,N/A,Privado,,,,,,,,,,,,,,,,,,,,,,,235 m²,,,,,,,,,,,,,
Piso en Plaça de Reus,MERCAT IMMOBILIARI CATALA,3.100 €/m²,186.000 €,60 m²,https://www.pisos.com/comprar/piso-la_gavarra-42506680295_106000/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),60 m²,3,1,Más de 50 años,,NI268-COR-4001-DA,A/a f/c,N/A,,,,,55 m²,6ª,,Baldosa,,,N/A,,,,,,,Aluminio,,Independiente,N/A,,,,,,,,,,,Agua individual,,,,,,,
Apartamento en Esplugues de Llobregat,Engel & Völkers MMC Barcelona,3.854 €/m²,370.000 €,96 m²,https://www.pisos.com/comprar/apartamento-esplugues_de_llobregat_centro_urbano08950-51684909226_101800/,Anuncio actualizado el 17/02/2025,"E, E","E, E",baix_llobregat (BCN),96 m²,4,2,Entre 30 y 50 años,,IF76306-I-00Z1GO-W-02YABD,,Central,,N/A,,,,8ª,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Abrera,Engel & Völkers MMC Barcelona,2.678 €/m²,584.000 €,218 m²,https://www.pisos.com/comprar/casa-abrera_centro_urbano-41729861123_101800/,Anuncio actualizado el 21/05/2024,"D, E","D, E",baix_llobregat (BCN),218 m²,4,3,Entre 10 y 20 años,,IF76306-I-00XZZV-W-02U95O,,Central,1,N/A,Privado,,,,,,,,,,A la montaña,,,,,,,,,,,,,698 m²,,,,,,,,,,,,,
Dúplex en El Papiol,K&M IMMOBLES,2.800 €/m²,350.000 €,125 m²,https://www.pisos.com/comprar/duplex-el_papiol_centro_urbano-49215772007_109300/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),125 m²,3,2,Entre 10 y 20 años,,EP1028-24P122,N/A,N/A,,mtrs=150,,N/A,125 m²,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Santa Eulàlia,GUIMAR CONSULTING,1.811 €/m²,520.000 €,287 m²,https://www.pisos.com/comprar/casa-sant_vicenc_dels_horts_centro_urbano-48342624913_100500/,Anuncio actualizado el 23/01/2025,"E, F","E, F",baix_llobregat (BCN),287 m²,5,3,Entre 20 y 30 años,,SA4468-GC02332/10008,N/A,N/A,1,N/A,N/A,Propia,250 m²,,,,N/A,N/A,,,Este,,,,,,N/A,,,,,,,,N/A,1,,,,N/A,N/A,,,,,,
Piso en La Plana,IMMOMAX,3.493 €/m²,290.000 €,83 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-45026275143_109300/,Anuncio actualizado el 19/07/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),83 m²,2,1,,En buen estado,EP950-16546,,,,25,,,73 m²,1ª,Entre 40 y 60 €,,,N/A,2 en finca,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Fontsanta-Fatjó,Engel & Völkers MMC Barcelona,3.468 €/m²,1.200.000 €,346 m²,https://www.pisos.com/comprar/duplex-fontsanta_fatjo-50857844818_101800/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),346 m²,4,3,Entre 10 y 20 años,,IF76306-I-00YWX8-W-02Y2XN,,Central,1,N/A,,Propia,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,1,,N/A,,,,,,,,,
Casa en Centre - Casco Antiguo,DE MELO INMOBILIARIA Y NEGOCIOS,2.152 €/m²,495.000 €,230 m²,https://www.pisos.com/comprar/casa-sant_boi_de_llobregat_centre-44248660673_108900/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),230 m²,5,2,,En buen estado,XA859-1439,Frío y calor,Gas natural,1,N/A,,,190 m²,,,,N/A,N/A,,,Sureste,,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer de Ramoneda,Aliseda Inmobiliaria,1.901 €/m²,154.000 €,81 m²,https://www.pisos.com/comprar/piso-la_gavarra-35880241465_107000/,Anuncio actualizado el 07/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),81 m²,3,1,,,AS1-52952097,,,,N/A,,,,,,,N/A,,N/A,N/A,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,
Piso en Carrer de Vidal i Ribas,Don Casa,4.647 €/m²,330.000 €,71 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-45014953532_500869/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),71 m²,4,1,Más de 50 años,En buen estado,500869-BVFA4227,,,1,N/A,,,63 m²,3ª,,Gres,N/A,,N/A,N/A,,N/A,,Madera,N/A,Aluminio,,Con salida a galería,20m² con salida a balcón,,,N/A,,,,,,N/A,N/A,,,,,,,,
Piso en Molins de Rei,K&M IMMOBLES,2.978 €/m²,280.000 €,94 m²,https://www.pisos.com/comprar/piso-molins_de_rei_centro_urbano-49245352611_109300/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),94 m²,4,2,,,EP1028-24P163,N/A,N/A,,,,,94 m²,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Bellamar,Engel & Völkers MMC Barcelona,4.212 €/m²,2.700.000 €,641 m²,https://www.pisos.com/comprar/casa-bellamar-50016670058_101800/,Anuncio actualizado el 23/12/2024,"D, D","D, D",baix_llobregat (BCN),641 m²,6,6,Entre 20 y 30 años,,IF76306-I-00YWA8-W-02Y3QE,,Central,1,N/A,Privado,Propia,,,,,N/A,,,,,,,,,,,N/A,,,,,,1.080 m²,,1,,,,,,,,,,,
Casa en Corbera de Llobregat,EXEL REAL ESTATE,1.155 €/m²,319.000 €,276 m²,https://www.pisos.com/comprar/casa-corbera_de_llobregat_centro_urbano-51733892362_108900/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),276 m²,5,4,,En buen estado,XA595-4709,,,2,N/A,,Propia,255 m²,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Baixador,Engel & Völkers MMC Barcelona,6.860 €/m²,590.000 €,86 m²,https://www.pisos.com/comprar/apartamento-baixador-49254725078_101800/,Anuncio actualizado el 08/11/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),86 m²,3,2,Más de 50 años,,IF76306-I-00YSLN-W-02XLN5,,,1,N/A,,Propia,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Sant Joan Despí,Engel & Völkers MMC Barcelona,2.666 €/m²,600.000 €,225 m²,https://www.pisos.com/comprar/casa_adosada-sant_joan_despi_centro_urbano08970-46729766856_101800/,Anuncio actualizado el 20/01/2025,"E, D","E, D",baix_llobregat (BCN),225 m²,5,3,Entre 20 y 30 años,,IF76306-I-00YGUT-W-02W8E1,,Central,1,N/A,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,Adosada,,,,,
Casa en Sant Esteve Sesrovires,Engel & Völkers MMC Barcelona,1.642 €/m²,575.000 €,350 m²,https://www.pisos.com/comprar/casa-sant_esteve_sesrovires_centro_urbano-51672642363_101800/,Anuncio actualizado el 14/02/2025,"F, F","F, F",baix_llobregat (BCN),350 m²,6,4,,,IF76306-I-00YXWK-W-02VP73,,,,N/A,Privado,,,,,,N/A,,,,,,,,,,,N/A,,,,,,1.264 m²,,,,,,,,,,,,,
Piso en Baixador,GROCASA,3.486 €/m²,265.000 €,76 m²,https://www.pisos.com/comprar/piso-baixador-50885863490_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),76 m²,2,1,Más de 50 años,,EP743-546251,N/A,,Comunitario,,,Comunitaria,41 m²,1ª,100,Terrazo,N/A,,,N/A,N,,,,,Aluminio,,Americana,,,,,,,,,,,,,,,,,,,
Casa en Torrelles de Llobregat,Engel & Völkers MMC Barcelona,1.875 €/m²,360.000 €,192 m²,https://www.pisos.com/comprar/casa-torrelles_de_llobregat_centro_urbano-37592185313_101800/,Anuncio actualizado el 05/01/2025,"F, G","F, G",baix_llobregat (BCN),192 m²,3,2,Más de 50 años,,IF76306-I-00XINT-W-02T4KS,,Central,,N/A,Privado,,,,,,,,,,Sur,,,,,,,,,,,,,,,1,,,,,,,,,,,
Piso en Carrer de Jaume Casanovas,DOSPUNTS,4.216 €/m²,156.000 €,37 m²,https://www.pisos.com/comprar/piso-sagnier_placa_de_catalunya-49181423758_522414/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),37 m²,2,1,Entre 20 y 30 años,En buen estado,4522414-000007,,Gas natural,,,,,37 m²,2ª,,Gres,,,,,,N/A,N/A,,N/A,Aluminio,,Totalmente equipada,Mucha luz,,,,,,,,,Exterior,,,,,,,,,
Casa rústica en Sant Climent de Llobregat,Engel & Völkers MMC Barcelona,1.681 €/m²,550.000 €,327 m²,https://www.pisos.com/comprar/casa_rustica-sant_climent_de_llobregat_centro_urbano-15860977568_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),327 m²,4,1,Más de 50 años,,IF76306-I-00U88I-W-02KW59,,,1,N/A,Privado,,,,,,,,,,A la montaña,,,,,,,,,,,,,3.421 m²,,,,,,,,Rústica,,,,,
Piso en Vallirana,Engel & Völkers MMC Barcelona,3.245 €/m²,295.312 €,91 m²,https://www.pisos.com/comprar/piso-vallirana_centro_urbano-5000973281_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),91 m²,3,2,,A estrenar,IF76306-D-000LNI,Frío y calor,,N/A,N/A,,,,,,Parquet,N/A,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Vallirana,Engel & Völkers MMC Barcelona,3.526 €/m²,246.852 €,70 m²,https://www.pisos.com/comprar/piso-vallirana_centro_urbano-5073301536_109700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),70 m²,2,2,,A estrenar,IF76306-D-000LNI,Frío y calor,,N/A,N/A,,,,,,Parquet,N/A,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Camps Blancs,Aliseda Inmobiliaria,1.373 €/m²,103.000 €,75 m²,https://www.pisos.com/comprar/piso-camps_blancs-41701205178_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),75 m²,3,1,,,AN1-ANT00047720305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Gavarra,TECNOCASA ESTUDIO CORNELLA,2.525 €/m²,250.000 €,99 m²,https://www.pisos.com/comprar/piso-la_gavarra-48373599562_100200/,Anuncio actualizado el 30/12/2024,"E, E","E, E",baix_llobregat (BCN),99 m²,4,1,Más de 50 años,En buen estado,TC77-596437,,Central,,,,,,2ª,Entre 20 y 40 €,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Sant Vicenç Dels Horts,FINCAS DOMUS,2.330 €/m²,268.000 €,115 m²,https://www.pisos.com/comprar/piso-sant_vicenc_dels_horts_centro_urbano-51713264084_501106/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),115 m²,3,1,Entre 30 y 50 años,Reformado,501106-001549,Frío y calor,Gas natural,,,,,100 m²,1ª,,Mármol,N/A,N/A,N/A,N/A,Sureste,N/A,,,N/A,Aluminio,,N/A,N/A,N/A,,N/A,,,,,N/A,N/A,N/A,,,,,,,,
Piso en Viladecans,LA CASA AGENCY ECV,2.071 €/m²,169.900 €,82 m²,https://www.pisos.com/comprar/piso-can_sellares_zona_de_estacio-50064840472_103700/,Anuncio actualizado el 17/02/2025,"G, G","G, G",baix_llobregat (BCN),82 m²,3,1,Entre 30 y 50 años,En buen estado,BLU3-LCB33586,,,,,,,70 m²,,,,,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Els Canons,GUIMAR CONSULTING,1.743 €/m²,640.000 €,367 m²,https://www.pisos.com/comprar/piso-marianao-40086656187_100500/,Anuncio actualizado el 07/02/2025,"F, G","F, G",baix_llobregat (BCN),367 m²,5,3,Entre 30 y 50 años,,SA4468-GC01492/10008,,,,N/A,N/A,,241 m²,Bajo,,Mármol,,,,N/A,,,,,,,,,,,N/A,,,,,1,,,,,N/A,,,,,,
Apartamento en Gavà Mar,Engel & Völkers MMC Barcelona,5.769 €/m²,675.000 €,117 m²,https://www.pisos.com/comprar/apartamento-gava_mar-51729974024_101800/,Anuncio actualizado el 14/02/2025,"E, E","E, E",baix_llobregat (BCN),117 m²,3,2,Más de 50 años,,IF76306-I-00Z0GC-W-02XHNB,,Central,1,,Privado,Propia,,,,,N/A,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Casa en Molins de Rei,Engel & Völkers MMC Barcelona,3.529 €/m²,900.000 €,255 m²,https://www.pisos.com/comprar/casa-molins_de_rei_centro_urbano-45836352718_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),255 m²,4,3,Menos de 5 años,,IF76306-I-00YGRK-W-02W6J6,,Central,1,N/A,Privado,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,
Piso en Can Clota,LA CASA AGENCY ECV,4.350 €/m²,435.000 €,100 m²,https://www.pisos.com/comprar/piso-esplugues_de_llobregat_centro_urbano08950-50041496817_103700/,Anuncio actualizado el 17/02/2025,"G, G","G, G",baix_llobregat (BCN),100 m²,4,2,Entre 30 y 50 años,En buen estado,BLU3-LCB33955,,N/A,N/A,,,,90 m²,,,,,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer Vídua Vives,Don Casa,2.830 €/m²,424.500 €,150 m²,https://www.pisos.com/comprar/casa_adosada-vinyets_moli_vell-49261587026_500869/,Anuncio actualizado el 07/02/2025,"D, D","D, D",baix_llobregat (BCN),150 m²,4,2,Entre 30 y 50 años,En buen estado,500869-CVGH1098,,,1,N/A,,Comunitaria,115 m²,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,N/A,,,,Adosada,,,,,
Casa en Torrelles de Llobregat,Engel & Völkers MMC Barcelona,1.483 €/m²,525.000 €,354 m²,https://www.pisos.com/comprar/casa-torrelles_de_llobregat_centro_urbano-15855192428_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),354 m²,4,4,Entre 20 y 30 años,,IF76306-I-00USMI-W-02MEMI,,Central,1,N/A,Privado,,,,,,N/A,,,,A la montaña,,,,,,,N/A,,,,,,700 m²,,1,,,,,,,,,,,
Piso en L'Eixample Centre-Barri Antic,Argi&co,4.500 €/m²,342.000 €,76 m²,https://www.pisos.com/comprar/piso-eixample_centre_barri_antic-47581302954_106700/,Anuncio actualizado el 27/11/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),76 m²,,,,,IFC76236-PIS_1669_A,N/A,,,N/A,,,62 m²,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en La Pineda,Engel & Völkers MMC Barcelona,3.097 €/m²,1.660.000 €,536 m²,https://www.pisos.com/comprar/casa-castelldefels_la_pineda-51721502762_101800/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),536 m²,5,5,,,IF76306-I-00Z1FO-W-02YS4P,,Central,1,N/A,Privado,Propia,,,,,N/A,,,,,,,,,,,,,,,,,720 m²,,1,,,,,,,,,,,
Chalet en calle Montmar,CORNEX CAPITAL,4.924 €/m²,1.625.000 €,330 m²,https://www.pisos.com/comprar/chalet-montmar-45918878983_108900/,Anuncio actualizado el 04/01/2025,"D, D","D, D",baix_llobregat (BCN),330 m²,5,5,,En buen estado,XA597-V-CASTELLDEF-02,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Passeig dels Ferrocarrils Catalans,Aliseda Inmobiliaria,1.853 €/m²,139.000 €,75 m²,https://www.pisos.com/comprar/piso-riera-41680312807_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),75 m²,3,1,,,AN1-ANT00030683604,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Esparreguera,IMMOBILIÀRIA BARDÉS,3.021 €/m²,556.000 €,184 m²,https://www.pisos.com/comprar/casa_unifamiliar-esparreguera_centro_urbano-50871370592_109300/,Anuncio actualizado el 20/02/2025,"A, A","A, A",baix_llobregat (BCN),184 m²,,,,,EP733-ES-C-5662.C-22,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unifamiliar,,,,,
Casa en Vallirana,Engel & Völkers MMC Barcelona,937 €/m²,449.000 €,479 m²,https://www.pisos.com/comprar/casa-vallirana_centro_urbano-49174593746_101800/,Anuncio actualizado el 04/11/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),479 m²,7,4,Entre 20 y 30 años,,IF76306-I-00YRZN-W-02GV28,,Central,1,N/A,Privado,,,,,,N/A,,,,,,,,,,,N/A,,,,,,1.117 m²,,1,,,,,,,,,,,
Chalet en Can Vinyals,MACROFINCAS S.L,1.215 €/m²,366.940 €,302 m²,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-2542618589_100500/,Anuncio actualizado el 21/10/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),302 m²,4,2,Entre 30 y 50 años,,SA565-MCO4271FG/1454,,N/A,,N/A,N/A,,267 m²,,,Terrazo,N/A,N/A,,,,,,,,,,,,,,,,3.730 m²,N/A,,,,,N/A,N/A,,,,,,
Casa en Begues,Engel & Völkers MMC Barcelona,1.779 €/m²,735.000 €,413 m²,https://www.pisos.com/comprar/casa-begues_centro_urbano-50931010818_101800/,Anuncio actualizado el 18/01/2025,"E, E","E, E",baix_llobregat (BCN),413 m²,6,5,Entre 20 y 30 años,,IF76306-I-00YYKA-W-02YEGN,,Central,1,N/A,Privado,,,,,,N/A,,,,,,,,,,,N/A,,,,,,901 m²,,1,,N/A,,,,,,,,,
Casa en Olesa de Montserrat,CASA HOUSE,1.376 €/m²,988.000 €,718 m²,https://www.pisos.com/comprar/casa-olesa_de_montserrat_centro_urbano-48362880937_109300/,Anuncio actualizado el 20/01/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),718 m²,13,4,Más de 50 años,,EP1035-OleMag2.1024,,Gasoil,N/A,,,N/A,715 m²,,,Cerámica o gress,N/A,,,,Oeste,,,,,N/A,,Independiente,,,,,,4 m²,,,,,,N/A,,,N/A,,,,
Casa rústica en El Poal,Engel & Völkers MMC Barcelona,4.672 €/m²,3.500.000 €,749 m²,https://www.pisos.com/comprar/casa_rustica-castelldefels_el_poal-44234338019_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),749 m²,6,5,Más de 50 años,,IF76306-I-00Y8EM-W-02VK2I,,Central,,N/A,Privado,Propia,,,,,N/A,,,,,,N/A,,,,,N/A,,,,,,13.363 m²,,1,,N/A,,,,Rústica,,,,,
Casa en Can Bou,Engel & Völkers MMC Barcelona,5.772 €/m²,1.270.000 €,220 m²,https://www.pisos.com/comprar/casa-castelldefels_can_bou-46746250467_101800/,Anuncio actualizado el 09/12/2024,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),220 m²,5,3,Entre 30 y 50 años,,IF76306-I-00YK9N-W-02WRCA,,Central,1,,Privado,Propia,,,,,N/A,,,,,,,,,,,N/A,,,,,,403 m²,,,,,,,,,,,,,
Piso en Avinguda de la República Argentina,GROCASA,2.426 €/m²,148.000 €,61 m²,https://www.pisos.com/comprar/piso-sant_ildefons-51732002324_109300/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),61 m²,3,1,Más de 50 años,,EP743-372531,,,,,,,55 m²,5ª,,Parquet,,,N/A,,N/A,,N/A,,,Madera,,Office,,,,,,,,,,,,,,,,,,,
Casa en Montmar,Engel & Völkers MMC Barcelona,1.612 €/m²,545.000 €,338 m²,https://www.pisos.com/comprar/casa-montmar-48395141971_101800/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,baix_llobregat (BCN),338 m²,,,,,IF76306-I-00YQFZ-W-02XGQN,,Central,,N/A,Privado,,,,,,N/A,,,,,,,,,,,,,,,,,824 m²,,,,,,,,,,,,,
