nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Gastos de comunidad,Referencia,Carpintería exterior,Gas,Calefacción,Lavadero,Balcón,Orientación,Superficie solar,Amueblado,Armarios empotrados,Vidrios dobles,Tipo suelo,Teléfono,Aire acondicionado,Chimenea,Cocina equipada,Comedor,Garaje,Puerta blindada,Sistema de seguridad,Terraza,Jardín,Piscina,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Ascensor,Agua,Soleado,Carpintería interior,Portero automático,Adaptado a personas con movilidad reducida,Luz,Trastero,Tipo de casa,Interior,No se aceptan mascotas
Piso en Carrer de Mèxic,Aliseda Inmobiliaria,1.189 €/m²,78.500 €,66 m²,https://www.pisos.com/comprar/piso-rocafonda08304-47570396170_105900/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),66 m²,,3,1,,,,,,AN1-ANT00030666193,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Casa en Arenys de Mar,Engel & Völkers MMC Barcelona,2.500 €/m²,1.150.000 €,460 m²,https://www.pisos.com/comprar/casa-arenys_de_mar_centro_urbano-43404718001_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),460 m²,,6,5,,,,,,IF76306-I-00Y439-W-02VCRG,,,,,,,836 m²,,,,,,,,,,1,,,,Privado,Propia,,,,,,,,,,,,,,,
Piso en Avenida Creu Den Fins,Aliseda Inmobiliaria,1.300 €/m²,58.500 €,45 m²,https://www.pisos.com/comprar/piso-cerdanyola_nord-41683538994_105900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),45 m²,,3,1,,,,,,AN1-ANT00038780300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Núria,Aliseda Inmobiliaria,1.600 €/m²,104.000 €,65 m²,https://www.pisos.com/comprar/piso-premia_de_mar_centro_urbano-41735054433_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),65 m²,,3,1,,,,,,AN1-ANT00030668962,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Dúplex en Nucli Urbà,URBENIA,1.731 €/m²,310.000 €,179 m²,https://www.pisos.com/comprar/duplex-tordera_nucli_urba-48408068161_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),179 m²,160 m²,3,2,2ª,N/A,,En buen estado,,EP1014-97389,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,N/A,N/A,,,,,,,,,
Casa adosada en Montgat,Engel & Völkers MMC Barcelona,2.653 €/m²,690.000 €,260 m²,https://www.pisos.com/comprar/casa_adosada-montgat_centro_urbano-46740456081_101800/,Anuncio actualizado el 14/08/2024,"E, D","E, D",maresme (BCN),260 m²,,6,3,,,Más de 50 años,,,IF76306-I-00YJIH-W-02W0BM,,,Central,N/A,,,539 m²,,,,,,,,,,1,,,N/A,Privado,Propia,,,,,,,,,,,,,Adosada,,
Piso en Avinguda de la Gatassa,GROCASA,1.530 €/m²,124.000 €,81 m²,https://www.pisos.com/comprar/piso-cerdanyola_sud08303-46764407616_109300/,Anuncio actualizado el 23/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),81 m²,80 m²,3,1,4ª,,Más de 50 años,,,EP743-1587954,Aluminio,,Individual,N/A,N/A,N/A,,N/A,,,Terrazo,,N/A,,Office,,,,,,,,,,,,,,,,,,,,,,
Piso en Argentona - A 5 Min. del Centro y A 2 Min. de La C60,LIVING Luxury Real Estate. Barcelona,3.194 €/m²,345.000 €,108 m²,https://www.pisos.com/comprar/piso-argentona_centro_urbano-43430275752_109100/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),108 m²,,4,2,1ª,Exterior calle,,,,FE6-283117,Aluminio,Otra compañía,N/A,,N/A,Sureste,,,,,Gres,,,,,,,,,N/A,,,,,,,,,Por la mañana,,,,,N/A,,,
Piso en Maresme,IAD ESPAÑA,2.360 €/m²,236.000 €,100 m²,https://www.pisos.com/comprar/piso-can_more_santa_anna-48377826223_108700/,Anuncio actualizado el 23/10/2024,"E, E","E, E",maresme (BCN),100 m²,100 m²,3,2,,,,,,UVC882-25359,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Antoni de Capmany,Aliseda Inmobiliaria,3.025 €/m²,175.500 €,58 m²,https://www.pisos.com/comprar/piso-escorxador08301-50015879195_104500/,Anuncio actualizado el 12/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),58 m²,,,,,,,,,ASR1-SRB0000176945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Telèfon,FABRA CONSULTORS,3.775 €/m²,151.000 €,40 m²,https://www.pisos.com/comprar/piso-tiana_centro_urbano08391-47516671028_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),40 m²,,2,1,Bajo,,Más de 50 años,,,SA4270-2024-0057/9908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Plaça de Roser,Aliseda Inmobiliaria,1.982 €/m²,113.000 €,57 m²,https://www.pisos.com/comprar/piso-calella_centro_urbano08370-47518168043_105900/,Anuncio actualizado el 13/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),57 m²,,3,1,,,,,,AN1-ANT00020717362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Santa Susanna,Engel & Völkers MMC Barcelona,2.016 €/m²,865.000 €,429 m²,https://www.pisos.com/comprar/casa-santa_susanna_centro_urbano-27531692241_101800/,Anuncio actualizado el 21/05/2024,"E, E","E, E",maresme (BCN),429 m²,,5,4,,,Entre 30 y 50 años,,,IF76306-I-00VPSH-W-02P2DN,,,Central,N/A,,Suroeste,600 m²,N/A,1,,,,,,N/A,,1,,,N/A,Privado,Propia,,,,,,,,,,,,N/A,,,
Piso en Carrer de Jovara,eXp Realty,3.829 €/m²,360.000 €,94 m²,https://www.pisos.com/comprar/piso-calella_centro_urbano08370-51728967026_100500/,Anuncio actualizado el 13/02/2025,"E, E","E, E",maresme (BCN),94 m²,70 m²,3,2,3ª,,Más de 50 años,,Más de 100 €,SA3689-EXP09117/8930,,,Eléctrica,,N/A,Sureste,,,,,,,,,,N/A,,,,N/A,,,,,,,N/A,N/A,,,,,,,,,
Casa en Pinemar,immobiliaria Les Mèlies,3.142 €/m²,330.000 €,105 m²,https://www.pisos.com/comprar/casa-pinemar-49171345517_106700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),105 m²,,3,2,,,,,,IFC75918-CAS_125,,,,,,,223 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Pinemar,URBENIA,1.772 €/m²,374.000 €,211 m²,https://www.pisos.com/comprar/casa-pinemar-49253165818_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),211 m²,107 m²,4,2,,,,En buen estado,,EP1014-97613,,,,,,,,,,,,,,,N/A,,1,,,Balcon 8m²,,,,,,,,N/A,,,,,,12m²,,,
Piso en Via Europa,URBENIA,3.844 €/m²,346.000 €,90 m²,https://www.pisos.com/comprar/piso-via_europa08304-48379265215_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),90 m²,69 m²,3,2,3ª,N/A,,En buen estado,,EP1014-97557,,,,,,,,,,,,,,,N/A,,1,N/A,,N/A,,,,,,,N/A,N/A,,,,,,,,,
Casa en Malgrat de Mar,CONROMA LA SELVA S.L.,3.457 €/m²,121.000 €,35 m²,https://www.pisos.com/comprar/casa-malgrat_de_mar_centro_urbano-45886986708_515529/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),35 m²,35 m²,3,1,,,,Reformado,,515529-B-0043,Aluminio,,Eléctrica,,,,65 m²,,,N/A,Gres,,Frío y calor,,N/A,N/A,,,,,Privado,Comunitaria,N/A,N/A,,,,,,,,,,,,,
Piso en Carrer del Carreró,Aliseda Inmobiliaria,2.692 €/m²,263.900 €,98 m²,https://www.pisos.com/comprar/piso-mataro_centre08301-50009097184_104500/,Anuncio actualizado el 09/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),98 m²,,,,,,,,,ASR1-SRB0000027575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centro,URBENIA,1.323 €/m²,172.000 €,130 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-47533544064_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),130 m²,113 m²,4,2,1ª,N/A,,,,EP1014-96920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Núria,Aliseda Inmobiliaria,1.200 €/m²,90.000 €,75 m²,https://www.pisos.com/comprar/piso-premia_de_mar_centro_urbano-41680825237_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),75 m²,,2,1,,,,,,AN1-ANT00030664752,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Casa en Cabrils,Engel & Völkers MMC Barcelona,2.065 €/m²,820.000 €,397 m²,https://www.pisos.com/comprar/casa-cabrils_centro_urbano-40869019808_101800/,Anuncio actualizado el 21/05/2024,"G, G","G, G",maresme (BCN),397 m²,,5,4,,,Entre 30 y 50 años,,,IF76306-I-00X0OT-W-02S51S,,,Central,N/A,,,638 m²,N/A,1,,,,,,N/A,,,,,,,Propia,,,,,,,,,,,,N/A,,,
Casa adosada en Tiana,Engel & Völkers MMC Barcelona,3.125 €/m²,1.050.000 €,336 m²,https://www.pisos.com/comprar/casa_adosada-tiana_centro_urbano08391-4839028692_109700/,Anuncio actualizado el 04/12/2024,"A, A","A, A",maresme (BCN),336 m²,,4,4,,,,A estrenar,,IF76306-D-000HAK,Aluminio,,,,,,,,Más de 2,,Parquet,,Frío y calor,,N/A,,N/A,,,N/A,Privado,,,,,,,,,,,,,,Adosada,,
Chalet en Sant Vicenç de Montalt,URBENIA,1.928 €/m²,785.000 €,407 m²,https://www.pisos.com/comprar/chalet-sant_vicenc_de_montalt_centro_urbano-49227498517_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),407 m²,,6,4,,,,En buen estado,,EP1014-97599,,,,,,,,,,,,,,,,,Más de 2,,,,,Propia,,,,,,N/A,,,,,,,,,
Piso en Via Europa,URBENIA,3.513 €/m²,267.000 €,76 m²,https://www.pisos.com/comprar/piso-via_europa08304-48409375635_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),76 m²,55 m²,2,1,1ª,N/A,,En buen estado,,EP1014-97544,,,,,,,,,,,,,,,N/A,,1,N/A,,N/A,,,,,,,N/A,N/A,,,,,,,,,
"Chalet en Avinguda del Regadiu, 96",IAD ESPAÑA,2.414 €/m²,1.345.000 €,557 m²,https://www.pisos.com/comprar/chalet-sant_vicenc_de_montalt_centro_urbano-50010204732_108700/,Anuncio actualizado el 19/02/2025,"E, D","E, D",maresme (BCN),557 m²,557 m²,6,5,,,Entre 20 y 30 años,,,UVC882-29346,,,N/A,,,,1.735 m²,,,,,,N/A,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,
Casa en Les Ginesteres,URBENIA,2.034 €/m²,470.000 €,231 m²,https://www.pisos.com/comprar/casa-argentona_centro_urbano-50084409632_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),231 m²,200 m²,7,3,,,,En buen estado,,EP1014-97809,,,,,,,,,,,,,,Chimenea + estufa de pelet,2 cocinas,,2,,,N/A,,,,,,,,N/A,,,,,,N/A,,,
Piso en Centre,SUPERVIA BCN,3.417 €/m²,270.000 €,79 m²,https://www.pisos.com/comprar/piso-mataro_centre08301-44261087631_106700/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),79 m²,72 m²,2,1,,,,,,IFC118-2383,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Cerdanyola,URBENIA,1.584 €/m²,93.500 €,59 m²,https://www.pisos.com/comprar/piso-cerdanyola_nord-47511124581_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),59 m²,,3,1,,,,,,EP1014-89410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Gatassa,Aliseda Inmobiliaria,1.194 €/m²,80.000 €,67 m²,https://www.pisos.com/comprar/piso-cerdanyola_sud08303-35880299555_107000/,Anuncio actualizado el 05/06/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),67 m²,,3,1,,,,,,AS1-39520786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Maresme,IAD ESPAÑA,4.400 €/m²,1.100.000 €,250 m²,https://www.pisos.com/comprar/chalet-teia_centro_urbano-48424861205_108700/,Anuncio actualizado el 13/02/2025,"A, A","A, A",maresme (BCN),250 m²,250 m²,4,3,,,Menos de 5 años,,,UVC882-25470,,,N/A,,,,445 m²,,,,,,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,
Piso en Sant Pol de Mar,URBENIA,4.728 €/m²,279.000 €,59 m²,https://www.pisos.com/comprar/piso-sant_pol_de_mar_centro_urbano-47571856009_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),59 m²,,2,1,1ª,N/A,,En buen estado,Entre 60 y 80 €,EP1014-97352,,,,,,,,,,,,,,,,,,,,,,Comunitaria,,,,,N/A,N/A,,,,,,,,,
Piso en Carrer del Germà Doroteo,Aliseda Inmobiliaria,1.093 €/m²,82.000 €,75 m²,https://www.pisos.com/comprar/piso-cerdanyola_nord-42544347169_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),75 m²,,3,1,,,,,,AN1-ANT00030666281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Fogars de La Selva,CONROMA ASESORES,57 €/m²,399.000 €,232 m²,https://www.pisos.com/comprar/finca_rustica-fogars_de_la_selva_centro_urbano-50857128281_527526/,Anuncio actualizado el 12/02/2025,"E, E","E, E",maresme (BCN),232 m²,232 m²,5,2,,,,En buen estado,,527526-C-1225,Madera,,Gasoil,N/A,,Sur,7.000 m²,N/A,Más de 2,,,,,N/A,N/A,N/A,Más de 2,,,N/A,,Propia,,,,,,,,,,,,,,,
"Ático en Carrer Avellaners, 6",IAD ESPAÑA,5.172 €/m²,600.000 €,116 m²,https://www.pisos.com/comprar/atico-alella_centro_urbano-50864463102_108700/,Anuncio actualizado el 19/02/2025,"E, E","E, E",maresme (BCN),116 m²,116 m²,4,2,,,Entre 20 y 30 años,,,UVC882-31408,,,N/A,,N/A,,,,,,,,N/A,,,,,,,N/A,,N/A,,,,,N/A,,,,,,,,,,
Piso en Pla D en Boet,SAM GRUPO M,2.364 €/m²,175.000 €,74 m²,https://www.pisos.com/comprar/piso-pla_en_boet08302-50910704988_100500/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),74 m²,,3,1,3ª,,,,,SA4980-SO-478/10877,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Via Europa,URBENIA,3.733 €/m²,336.000 €,90 m²,https://www.pisos.com/comprar/piso-via_europa08304-49225032594_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),90 m²,69 m²,3,2,1ª,N/A,,En buen estado,,EP1014-97666,,,,,,,,,,,,,,,N/A,,1,N/A,,N/A,,,,,,,N/A,N/A,,,,,,,,,
Piso en Cerdanyola Nord,SAM GRUPO M,1.945 €/m²,159.500 €,82 m²,https://www.pisos.com/comprar/piso-la_llantia-50890017455_100500/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),82 m²,,2,1,1ª,,,,,SA4980-SO-483/10877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Santa Susanna,Engel & Völkers MMC Barcelona,2.525 €/m²,745.000 €,295 m²,https://www.pisos.com/comprar/casa-santa_susanna_centro_urbano-40016703327_101800/,Anuncio actualizado el 06/08/2024,"E, E","E, E",maresme (BCN),295 m²,,5,4,,,Más de 50 años,,,IF76306-I-00XSUV-W-02TGT4,,,Central,N/A,,A la montaña,1.280 m²,,1,,,,,,N/A,,,,,N/A,Privado,Propia,,,,,,,,,,,,N/A,,,
Casa en Premià de Dalt,Engel & Völkers MMC Barcelona,2.391 €/m²,1.050.000 €,439 m²,https://www.pisos.com/comprar/casa-premia_de_dalt_centro_urbano-44236935965_101800/,Anuncio actualizado el 27/09/2024,"E, E","E, E",maresme (BCN),439 m²,,8,4,,,Entre 30 y 50 años,,,IF76306-I-00YA2K-W-02VW7U,,,Central,N/A,,,757 m²,,1,,,,,,N/A,,1,,,N/A,Privado,Propia,,,,,,,,,,,,N/A,,,
Casa en Urbanitzacions,Engel & Völkers MMC Barcelona,4.057 €/m²,2.840.000 €,700 m²,https://www.pisos.com/comprar/casa-sant_andreu_de_llavaneres_urbanitzacions-49180208714_101800/,Anuncio actualizado el 26/11/2024,"C, B","C, B",maresme (BCN),700 m²,,7,8,,,Entre 10 y 20 años,,,IF76306-I-00YUFJ-W-02XWKT,,,Central,N/A,,,1.974 m²,N/A,1,,,,,,N/A,,1,,,N/A,Privado,Propia,,,,,,,,,,,,N/A,,,
Casa en Alella,Engel & Völkers MMC Barcelona,3.534 €/m²,1.375.000 €,389 m²,https://www.pisos.com/comprar/casa-alella_centro_urbano-17531048427_101800/,Anuncio actualizado el 24/07/2024,"E, E","E, E",maresme (BCN),389 m²,,5,3,,,Entre 20 y 30 años,,,IF76306-I-00UXR9-W-02MQC4,,,Central,,,A la montaña,494 m²,,1,,,,,,N/A,,1,,,N/A,Privado,Propia,,,,,,,,,,,,N/A,,,
Piso en Carrer del Pilar,WEST SIDE,2.630 €/m²,221.000 €,84 m²,https://www.pisos.com/comprar/piso-premia_de_mar_centro_urbano-50891711476_100500/,Anuncio actualizado el 22/01/2025,"D, D","D, D",maresme (BCN),84 m²,80 m²,4,1,Bajo,N/A,Más de 50 años,En buen estado,,SA3620-0746-668-997-VI,,,Gas natural,,,,,,,,Gres,,,,Cocina amueblada,,,,,,,,,,,,,,N/A,,,N/A,,,,,
Piso en Ronda Rd Rafael Estrany,GROCASA,2.637 €/m²,240.000 €,91 m²,https://www.pisos.com/comprar/piso-rocafonda08304-51725380568_109300/,Anuncio actualizado el 04/02/2025,"D, D","D, D",maresme (BCN),91 m²,90 m²,3,1,5ª,,Entre 30 y 50 años,,50,EP743-1632452,Aluminio,,Centralizada,N/A,N/A,E,,,,,Cerámico,,,,Office,,Comunitario,,,,,,,,,,N/A,,,,,,,,,,
Piso en Centre,Engel & Völkers MMC Barcelona,3.625 €/m²,232.000 €,64 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-5181819093_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),64 m²,,2,1,,,,A estrenar,,IF76306-D-000MMY,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
"Chalet en Camí de Mataró, 21",FINQUES ENRIC,797 €/m²,895.000 €,1.122 m²,https://www.pisos.com/comprar/chalet-cabrils_centro_urbano-50886882823_100500/,Anuncio actualizado el 04/02/2025,"E, E","E, E",maresme (BCN),1.122 m²,993 m²,8,3,,,Más de 50 años,A reformar,,SA5788-5987,,,,,,Sur,3.137 m²,,,,,,N/A,,,,1,,,N/A,N/A,N/A,,,,,,,,,,,,N/A,,,
Casa en Vilassar de Dalt,URBENIA,1.532 €/m²,535.000 €,349 m²,https://www.pisos.com/comprar/casa-vilassar_de_dalt_centro_urbano-51726524574_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),349 m²,310 m²,3,2,,,,,,EP1014-98100,,,,,,,,,,,,,,N/A,N/A,,,,,N/A,,,,,,,,N/A,,,,,,,,,
"Piso en Torrent de Lloveras, 32",ALTAMIRA,2.307 €/m²,180.000 €,78 m²,https://www.pisos.com/comprar/piso-vilassar_de_dalt_centro_urbano-33342013722_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),78 m²,78 m²,4,2,,,,,,AM9-2302##33000455,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Casa en Carrer de Céllecs,ONREALE REAL ESTATE SERVICES,895 €/m²,248.000 €,277 m²,https://www.pisos.com/comprar/casa-dosrius_centro_urbano-43349587601_109300/,Anuncio actualizado el 11/01/2025,"F, E","F, E",maresme (BCN),277 m²,183 m²,4,3,,,Entre 10 y 20 años,A reformar,,EP839-PB-ON240714,,,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Passeig Marítim,CONROMA ASESORES,2.375 €/m²,95.000 €,40 m²,https://www.pisos.com/comprar/piso-malgrat_de_mar_centro_urbano-49261363837_527526/,Anuncio actualizado el 12/02/2025,"F, F","F, F",maresme (BCN),40 m²,35 m²,1,1,Bajo,,Entre 20 y 30 años,Reformado,27€ mensual,527526-P-850-D,Aluminio,N/A,Eléctrica,,,Sureste,,N/A,2,,Gres,,Frío y calor,,N/A,N/A,,,,N/A,Comunitario,,,,,N/A,,,,,,,,,,N/A,
Chalet en Carrer de Céllecs,CENTURY 21 Les Santes,1.137 €/m²,248.000 €,218 m²,https://www.pisos.com/comprar/chalet-dosrius_centro_urbano-45031268307_107700/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),218 m²,188 m²,3,2,,,,,,VE87-0117-SBRE-0134749,,,,,,,218 m²,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,
Piso en Centre,URBENIA,3.404 €/m²,337.000 €,99 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-51745368902_109300/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),99 m²,81 m²,3,2,3ª,N/A,,En buen estado,,EP1014-98218,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Piso en La Llantia,Comprarcasa GAND HOUSE,1.845 €/m²,500.000 €,271 m²,https://www.pisos.com/comprar/piso-la_llantia-34224166926_100500/,Anuncio actualizado el 21/01/2025,"E, E","E, E",maresme (BCN),271 m²,228 m²,5,3,Bajo,,,,,SA342-GH02062/741,,,N/A,,,,,N/A,,,Parquet,,N/A,,,,1,,,,N/A,,,,,,,N/A,,,,,,N/A,,,
Piso en Dosrius,MONAPART,3.739 €/m²,359.000 €,96 m²,https://www.pisos.com/comprar/piso-dosrius_centro_urbano-4870497464_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),96 m²,,3,2,Bajo,,,A estrenar,,IF76872-MI0126-3267,,,,,N/A,,,,,,Parquet,,,,N/A,,N/A,,,,,,,,,,,,,,,,,N/A,,,
Piso en Centro,URBENIA,3.233 €/m²,249.000 €,77 m²,https://www.pisos.com/comprar/piso-pineda_de_mar_centre-51714242238_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),77 m²,56 m²,1,1,1ª,N/A,,En buen estado,,EP1014-98131,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,N/A,,,,,,,,,,
Casa en Alella,URBENIA,2.509 €/m²,675.000 €,269 m²,https://www.pisos.com/comprar/casa-alella_centro_urbano-47586939963_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),269 m²,245 m²,8,4,,,,En buen estado,,EP1014-97020,,,,,,,,,,,,,,N/A,,,2,,,N/A,,Propia,,,,,,N/A,,,,,,,,,
Casa en Avenida Ciudatans,Aliseda Inmobiliaria,448 €/m²,240.000 €,535 m²,https://www.pisos.com/comprar/casa-tordera_nucli_urba-99194356410_107000/,Anuncio actualizado el 26/09/2024,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),535 m²,,6,2,,,,,,AS1-52942816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Llantia,URBENIA,2.557 €/m²,179.000 €,70 m²,https://www.pisos.com/comprar/piso-la_llantia-47569082021_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),70 m²,60 m²,3,1,,N/A,,En buen estado,,EP1014-96973,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,,,N/A,,,
Chalet en Maresme,IAD ESPAÑA,2.633 €/m²,395.000 €,150 m²,https://www.pisos.com/comprar/chalet-centre_urba-51709851798_108700/,Anuncio actualizado el 20/02/2025,"E, E","E, E",maresme (BCN),150 m²,150 m²,3,2,,,Entre 30 y 50 años,,,UVC882-32198,,,N/A,,,,2.802 m²,,,,,,N/A,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,
Casa en Carrer de Carles Pi i Sunyer,HELLOFINCA.,680 €/m²,340.000 €,500 m²,https://www.pisos.com/comprar/casa-argentona_centro_urbano-47540364368_527713/,Anuncio actualizado el 24/01/2025,"C, C","C, C",maresme (BCN),500 m²,180 m²,4,3,,,Entre 10 y 20 años,Reformado,,4527713-CASA ARGENTONA,,,Gasoil,,,,500 m²,,,N/A,Gres,N/A,Frío y calor,N/A,N/A,N/A,,N/A,,N/A,Privado,Propia,N/A,N/A,N/A,N/A,,,,N/A,,N/A,,,,,
Casa en Malgrat de Mar,URBENIA,2.966 €/m²,350.000 €,118 m²,https://www.pisos.com/comprar/casa-malgrat_de_mar_centro_urbano-50042180785_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),118 m²,108 m²,4,2,,,,En buen estado,,EP1014-97804,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,N/A,,,,,,,,,
Casa en Urb. Mataró,URBENIA,1.700 €/m²,420.000 €,247 m²,https://www.pisos.com/comprar/casa-altres_urbanitzacions08304-51688353450_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,maresme (BCN),247 m²,,3,3,,,,,,EP1014-97807,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa en Urbanitzacions Niàgara Parc-Àgora Parc-Roca-Rossa,CONROMA LA SELVA S.L.,2.333 €/m²,350.000 €,150 m²,https://www.pisos.com/comprar/casa-urbanitzacions_niagara_parc_agora_parc_roca_rossa0-48365855808_515529/,Anuncio actualizado el 02/02/2025,"E, F","E, F",maresme (BCN),150 m²,137 m²,3,2,,,,Reformado,,515529-C-1233,Aluminio,,Gas natural,N/A,,Sureste,850 m²,,2,N/A,Gres,,,N/A,N/A,N/A,2,N/A,N/A,N/A,Privado,Propia,N/A,N/A,N/A,,,,,Madera,,N/A,,,,,
