nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Conservación,Referencia,Ascensor,Terraza,Superficie útil,Exterior,Antigüedad,Gastos de comunidad,Carpintería interior,Tipo suelo,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Lavadero,Balcón,Orientación,Garaje,Piscina,Armarios empotrados,Vidrios dobles,Puerta blindada,Urbanizado,Calle alumbrada,Calle asfaltada,Agua,Superficie solar,Trastero,Jardín,Sistema de seguridad,Soleado,Se aceptan mascotas,Chimenea,Portero automático,Adaptado a personas con movilidad reducida,Interior,Tipo de casa,Teléfono,Amueblado,Luz,No se aceptan mascotas
"Piso en calle calle Càtul 12, nº 12",IAD ESPAÑA,2.640 €/m²,169.000 €,64 m²,https://www.pisos.com/comprar/piso-can_rull08206-51692032866_108700/,Anuncio actualizado el 14/02/2025,"E, E","E, E",valles_occidental_sud (BCN),64 m²,3,1,,,UVC882-31977,,,64 m²,,Más de 50 años,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Castellarnau,IGLOO exes CENTRE,2.005 €/m²,328.900 €,164 m²,https://www.pisos.com/comprar/piso-castellarnau08206-47553151486_108900/,Anuncio actualizado el 05/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),164 m²,4,2,1ª,En buen estado,XA541-2714,N/A,N/A,115 m²,N/A,,,,,,,Frío y calor,Gas natural,,,,,,1,Comunitaria,,,,,,,,,N/A,,,,,,,,,,,,,
Casa en Carrer de l'Estrella,FINQUES ALFI,4.302 €/m²,185.000 €,43 m²,https://www.pisos.com/comprar/casa-sant_quirze_del_valles_centro_urbano-44253056886_518762/,Anuncio actualizado el 27/11/2024,"F, E","F, E",valles_occidental_sud (BCN),43 m²,1,1,,En buen estado,518762-002852,,N/A,40 m²,,Más de 50 años,,N/A,Parquet,Aluminio,,Frío y calor,,N/A,N/A,N/A,,Sureste,,,,N/A,,N/A,N/A,N/A,,130 m²,,Privado,,,N/A,,,,,,,,,
Piso en Can Gambus,IFINQUES CASTELLAR,3.611 €/m²,195.000 €,54 m²,https://www.pisos.com/comprar/piso-can_feu08205-48378873329_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),54 m²,1,1,11ª,En buen estado,SA4977-116,N/A,,46 m²,N/A,Entre 10 y 20 años,,,Parquet,,,Frío,Gas natural,Cocina amueblada,,,N/A,Sur,1,,,N/A,,,,,,,N/A,Comunitario,N/A,N/A,,,,,,,,,,
Casa adosada en Carrer dels Andes,FS FINQUES,1.591 €/m²,390.000 €,245 m²,https://www.pisos.com/comprar/casa_adosada-la_plana_del_pintor08207-42515732170_100500/,Anuncio actualizado el 20/05/2024,"A, A","A, A",valles_occidental_sud (BCN),245 m²,5,3,,,SA411-FS1054/4962,,N/A,176 m²,,Menos de 5 años,,,,,,,N/A,,,,,,,,,,,,,,,77 m²,,,,,,,,,,Adosada,,,,
Casa adosada en - La Romanica -,CAMEVA Serveis Immobiliaris,2.820 €/m²,251.000 €,89 m²,https://www.pisos.com/comprar/casa_adosada-barbera_del_valles_centro_urbano-37528221371_100500/,Anuncio actualizado el 15/02/2025,"G, G","G, G",valles_occidental_sud (BCN),89 m²,3,1,,,SA4360-CAM2130/10108,,N/A,80 m²,,Más de 50 años,,,Parquet,,,N/A,Gas natural,,,,,,,,,,N/A,,,,N/A,94 m²,,,,,,,,,,Adosada,,,,
Casa adosada en Centre,Grup Tecnocasa Sant Cugat,1.873 €/m²,399.000 €,213 m²,https://www.pisos.com/comprar/casa_adosada-sant_cugat_del_valles_centre08173-50039282636_100200/,Anuncio actualizado el 30/01/2025,"G, F","G, F",valles_occidental_sud (BCN),213 m²,3,2,,En buen estado,TC423-603450,,N/A,,,Más de 50 años,,,,,,N/A,N/A,,,,,,1,,,,,,,,,,,,,,,,,,,Adosada,,,,
Piso en calle San José,AIZUS GROUP,3.125 €/m²,175.000 €,56 m²,https://www.pisos.com/comprar/piso-can_clos_els_pinetons08291-45846043543_106000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),56 m²,2,1,2ª,,NI417-5253,N/A,,50 m²,,,,,Gres,Aluminio,,,N/A,Independiente,N/A,,N/A,,1,,,,,,,,Gas ciudad,,,,,,,,,,,,,,,
Casa en Ca N‘Oriac - Can Puiggener,Urbane International Real estate,2.095 €/m²,459.000 €,219 m²,https://www.pisos.com/comprar/casa-can_deu08207-49264596316_109300/,Anuncio actualizado el 19/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),219 m²,4,3,,En buen estado,EP974-3690,,N/A,169 m²,,,,,,,,Frío y calor,Gas natural,N/A,,,,Sureste,2,,,,N/A,,,,N/A,,,,,,,,,,,,,N/A,,
Piso en Sol I Padris,SBD IMMOBLES,1.986 €/m²,149.000 €,75 m²,https://www.pisos.com/comprar/piso-eixample_sant_oleguer08203-50012720764_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),75 m²,3,1,4ª,,SA723-11746/2605,,N/A,68 m²,,Más de 50 años,,,Gres,,,,Gas natural,,,,N/A,Sur,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Centre,NOVA FINQUES,2.595 €/m²,109.000 €,42 m²,https://www.pisos.com/comprar/piso-distrito_gracia08203-50049199240_100500/,Anuncio actualizado el 02/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),42 m²,2,1,1ª,,SA3386-ACTCHAR03/8710,,,,,Más de 50 años,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Can Gorgs Ii,ImmoTESA,3.565 €/m²,410.000 €,115 m²,https://www.pisos.com/comprar/casa-barbera_del_valles_centro_urbano-33405023757_109300/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),115 m²,3,1,,En buen estado,EP63-19711470,,,,,,,,,,,,N/A,N/A,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de Francesc Trabal,BUENO FINQUES,1.525 €/m²,151.000 €,99 m²,https://www.pisos.com/comprar/piso-la_plana_del_pintor08207-47577694828_528600/,Anuncio actualizado el 24/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),99 m²,3,1,7ª,A reformar,4528600-000009,N/A,,90 m²,N/A,Entre 30 y 50 años,Entre 40 y 60 €,,,,,,,,,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Romanica,AIZUS GROUP,2.323 €/m²,118.500 €,51 m²,https://www.pisos.com/comprar/piso-barbera_del_valles_centro_urbano-50076664394_106000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),51 m²,2,1,1ª,,NI417-5289,,,48 m²,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en El Centre,SBD IMMOBLES,3.187 €/m²,357.000 €,112 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-50837426359_100500/,Anuncio actualizado el 09/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),112 m²,4,2,Bajo,,SA723-11776/2605,N/A,,110 m²,,Entre 20 y 30 años,,,,,,,N/A,,N/A,,N/A,,1,,1,,,,,,N/A,,N/A,,,,,,,,,,,,,
Ático en Fontetes-Carretera de Barcelona,Engel & Völkers MMC Barcelona,3.109 €/m²,398.000 €,128 m²,https://www.pisos.com/comprar/atico-fontetes_carretera_de_barcelona-48363151832_101800/,Anuncio actualizado el 25/01/2025,"E, E","E, E",valles_occidental_sud (BCN),128 m²,4,2,4ª,,IF76306-I-00YPP7-W-02U79C,N/A,N/A,,,Entre 30 y 50 años,,,,,,,Central,,,,,,1,,1,,,,,,,,N/A,,,,,,,,,,,,,
Piso en La Creu de Barbera,SBD IMMOBLES,3.155 €/m²,284.000 €,90 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08210-35862226913_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),90 m²,3,2,5ª,,SA723-11040/2605,N/A,N/A,77 m²,,Menos de 5 años,,,,,,,N/A,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Casa en Centre,CAMEVA Serveis Immobiliaris,2.366 €/m²,530.000 €,224 m²,https://www.pisos.com/comprar/casa-centre_covadonga_centre08201-37529787986_100500/,Anuncio actualizado el 21/01/2025,"E, E","E, E",valles_occidental_sud (BCN),224 m²,4,4,,,SA4360-CAM2128/10108,,N/A,213 m²,,Más de 50 años,,,Parquet,,,N/A,Gas natural,,,,,Este,1,,1,,,,,,N/A,,N/A,N/A,,,,,,,,,,,,
Piso en La Creu de Barbera,SBD IMMOBLES,1.788 €/m²,195.000 €,109 m²,https://www.pisos.com/comprar/piso-eixample_sant_oleguer08203-50867383912_100500/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),109 m²,3,1,1ª,,SA723-11766/2605,,N/A,,,Más de 50 años,,,Gres,,,,,,N/A,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en El Centre,VALLES INMOBILIARIA,4.296 €/m²,580.000 €,135 m²,https://www.pisos.com/comprar/casa_adosada-centre_covadonga_centre08202-50853757241_100500/,Anuncio actualizado el 18/02/2025,"C, C","C, C",valles_occidental_sud (BCN),135 m²,2,1,,,SA4822-2810-/10724,,N/A,129 m²,,Más de 50 años,,,,,,N/A,N/A,,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,Adosada,,,,
Ático en Carrer de Pau Claris,FS FINQUES,2.714 €/m²,380.000 €,140 m²,https://www.pisos.com/comprar/atico-distrito_gracia08205-50092467927_100500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",valles_occidental_sud (BCN),140 m²,3,2,Bajo,,SA411-FS2107/4962,N/A,N/A,93 m²,,Entre 10 y 20 años,,,,,,,,,,,N/A,,,,1,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,
Piso en Carrer de Narcís Giralt,ETHIC REAL ESTATE,1.807 €/m²,459.000 €,254 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08202-49235977099_100500/,Anuncio actualizado el 25/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),254 m²,5,3,2ª,,SA4866-845/9037,N/A,,156 m²,,Entre 30 y 50 años,,,,,,N/A,Gas natural,,,,N/A,,,,1,,N/A,,,,N/A,,,,,,,,,,,,,N/A,,
Dúplex en Carrer de Joan Maragall,K&M IMMOBLES,2.166 €/m²,260.000 €,120 m²,https://www.pisos.com/comprar/duplex-castellbisbal_centro_urbano-49225214629_109300/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),120 m²,3,3,,,EP1028-24P170,,mtrs=14,120 m²,,Entre 20 y 30 años,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa adosada en Carrer de Lluís,ESLALLAR,2.913 €/m²,539.000 €,185 m²,https://www.pisos.com/comprar/casa_adosada-la_creu_alta08208-51702236594_100500/,Anuncio actualizado el 10/02/2025,"B, A","B, A",valles_occidental_sud (BCN),185 m²,4,3,,,SA5398-3139/11608,,N/A,102 m²,,,,,Parquet,,,N/A,N/A,,,,,,1,,,,,,,,N/A,,,,,,,,,,,Adosada,,,,
"Piso en Avinguda de Catalunya, 17",Corp Promotores,4.150 €/m²,303.000 €,73 m²,https://www.pisos.com/comprar/piso-fontetes_carretera_de_barcelona-5220592839_109700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),73 m²,2,2,2ª,A estrenar,4994285-21770168,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Unió,ETHIC REAL ESTATE,3.077 €/m²,357.000 €,116 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-50838207963_100500/,Anuncio actualizado el 09/01/2025,"E, E","E, E",valles_occidental_sud (BCN),116 m²,4,2,Bajo,,SA4866-861/9037,N/A,,110 m²,,Entre 20 y 30 años,,,,,,N/A,Gas natural,,,,,,1,,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Ca N´Oriac,NOVA FINQUES,2.011 €/m²,177.000 €,88 m²,https://www.pisos.com/comprar/piso-ca_noriac08207-48346871056_100500/,Anuncio actualizado el 25/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),88 m²,3,1,1ª,,SA3386-SBD200116/8710,,N/A,85 m²,,Más de 50 años,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,
Casa en Sant Quirze del Vallès,Engel & Völkers MMC Barcelona,3.444 €/m²,465.000 €,135 m²,https://www.pisos.com/comprar/casa-sant_quirze_del_valles_centro_urbano-48356851931_101800/,Anuncio actualizado el 02/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),135 m²,3,1,,,IF76306-I-00YOGT-W-02WJ4E,,N/A,,,Más de 50 años,,,,,,,Central,N/A,,N/A,,,1,,,,,,,,,208 m²,N/A,,,,,,,,,,,,,
Casa en Carrer de Pi i Margall,FINQUES ALFI,2.257 €/m²,395.000 €,175 m²,https://www.pisos.com/comprar/casa-sant_quirze_del_valles_centro_urbano-48350848535_518762/,Anuncio actualizado el 19/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),175 m²,3,1,,En buen estado,518762-002920,,N/A,175 m²,,Más de 50 años,,N/A,Gres,Aluminio,N/A,,Gas natural,N/A,N/A,N/A,,Sur,Más de 2,,1,N/A,,N/A,N/A,N/A,,231 m²,,Privado,N/A,,N/A,,,N/A,,,N/A,N/A,,
Casa en Carrer de la Rosa,URBAN GRUP central,1.315 €/m²,400.000 €,304 m²,https://www.pisos.com/comprar/casa-centre_covadonga_centre08201-47591279415_101800/,Anuncio actualizado el 26/09/2024,"E, E","E, E",valles_occidental_sud (BCN),304 m²,3,2,,,IF77140-UGB1525,,N/A,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Ronda del Ponent,FS FINQUES,3.160 €/m²,275.000 €,87 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-48383340197_100500/,Anuncio actualizado el 17/01/2025,"C, C","C, C",valles_occidental_sud (BCN),87 m²,3,2,1ª,,SA411-FS11667/4962,N/A,,75 m²,,Entre 10 y 20 años,,,Parquet,,,N/A,Central,,,,,Este,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Els Merinals,SBD IMMOBLES,1.706 €/m²,128.000 €,75 m²,https://www.pisos.com/comprar/piso-els_merinals-51680965535_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),75 m²,3,1,Bajo,,SA723-11808/2605,,,70 m²,,Más de 50 años,,,Gres,,,,,,,,,,,,1,,,,,,N/A,,,,,,,,,,,,,,,
Piso en La Creu de Barbera,SBD IMMOBLES,3.609 €/m²,296.000 €,82 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08210-35855801004_100500/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),82 m²,3,2,6ª,,SA723-11046/2605,N/A,N/A,69 m²,,Menos de 5 años,,,,,,,N/A,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Casa en Carrer del Doctor Buxó,Konectas.com,1.238 €/m²,525.000 €,424 m²,https://www.pisos.com/comprar/casa-montcada_centre_la_ribera-49171538531_100500/,Anuncio actualizado el 02/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),424 m²,4,5,,,SA5251-KON06341/2837,,N/A,203 m²,,Entre 20 y 30 años,,,,,,,,,,,,Sur,1,,1,,,,,,,324 m²,,N/A,,,,N/A,,,,,,,,
Piso en calle Bulgaria,NOVA FINQUES,2.331 €/m²,415.000 €,178 m²,https://www.pisos.com/comprar/piso-sabadell_can_gambus08205-30059643579_100500/,Anuncio actualizado el 18/10/2023,"B, B","B, B",valles_occidental_sud (BCN),178 m²,3,2,Bajo,,SA3386-EIX60437/8710,N/A,N/A,98 m²,,,Entre 80 y 100 €,,,,,N/A,N/A,,N/A,,,Sureste,1,Comunitaria,1,,N/A,,,,N/A,,N/A,,N/A,,,N/A,,,,,,,,
Casa en Avinguda d'Antoni Griera,CANO & PUJOL,2.347 €/m²,1.190.000 €,507 m²,https://www.pisos.com/comprar/casa-la_floresta_les_planes08196-48334178708_109300/,Anuncio actualizado el 25/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),507 m²,4,4,,,EP1034-5356,,N/A,317 m²,,,,,,,,,,N/A,,,,,Más de 2,Propia,,,N/A,,,,N/A,,N/A,,,,,En salon,,,,,,,,
Casa en Avinguda d'Antoni Gaudí,FINQUES ALFI,Error al procesar precio m²,A consultar,275 m²,https://www.pisos.com/comprar/casa-sant_quirze_del_valles_centro_urbano-45834790969_518762/,Anuncio actualizado el 04/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),275 m²,4,3,,En buen estado,518762-002903,,N/A,260 m²,,Entre 20 y 30 años,,N/A,Gres,Aluminio,N/A,,Gas natural,N/A,N/A,N/A,,Sur,Más de 2,,2,N/A,N/A,N/A,N/A,N/A,N/A,107 m²,,Privado,N/A,,N/A,N/A,,,,,N/A,N/A,,
Ático en Centre,Engel & Völkers MMC Barcelona,4.129 €/m²,479.000 €,116 m²,https://www.pisos.com/comprar/atico-sant_cugat_del_valles_centre08172-22558315339_101800/,Anuncio actualizado el 21/05/2024,"D, D","D, D",valles_occidental_sud (BCN),116 m²,4,3,1ª,,IF76306-I-00SGP8-W-02FYRL,N/A,N/A,,,Más de 50 años,,,,,,,Central,,,N/A,,Sur,1,,1,,,,,,,,,,,,,,,,,,,,,
Piso en calle Francesc Layret,CANO & PUJOL,3.300 €/m²,330.000 €,100 m²,https://www.pisos.com/comprar/piso-santa_perpetua_de_mogoda_centro_urbano-48359374797_109300/,Anuncio actualizado el 25/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),100 m²,3,2,2ª,Reformado,EP1034-5658,N/A,N/A,90 m²,N/A,,,,,,,,,N/A,,,,,2,,,,N/A,,,,N/A,,Opcional,,,,,,,,,,,,,
"Piso en calle Víctor Català y C/ Dels Boters,  S/N",CANO & PUJOL,3.029 €/m²,309.000 €,102 m²,https://www.pisos.com/comprar/piso-palau_solita_i_plegamans_centro_urbano-4887414023_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),102 m²,3,2,2ª,A estrenar,EP1034-21509560,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Centre,Engel & Völkers MMC Barcelona,5.333 €/m²,480.000 €,90 m²,https://www.pisos.com/comprar/apartamento-sant_cugat_del_valles_centre08172-43343156221_101800/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),90 m²,4,1,1ª,,IF76306-I-00Y6RV-W-02US9N,N/A,,,,Más de 50 años,,,,,,,Central,N/A,,N/A,,,,,1,,,,,,,,,,,,,,,,,,,,,
Piso en Barri dels Merinals,ESLALLAR,1.956 €/m²,135.000 €,69 m²,https://www.pisos.com/comprar/piso-els_merinals08205-50839239273_100500/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),69 m²,3,1,3ª,,SA5398-8143/11608,,,60 m²,,Más de 50 años,,,Gres,,,,N/A,,,,,Este,,,1,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Can Clos-Els Pinetons,"ESTUDI NOVA RIPOLLET, S.L.U.",1.666 €/m²,135.000 €,81 m²,https://www.pisos.com/comprar/piso-can_clos_els_pinetons08291-49169516960_100200/,Anuncio actualizado el 13/02/2025,"E, E","E, E",valles_occidental_sud (BCN),81 m²,4,1,,En buen estado,TC682-599848,,,,,Más de 50 años,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Can Oriac,IGLOO exes CENTRE,1.875 €/m²,285.000 €,152 m²,https://www.pisos.com/comprar/duplex-la_plana_del_pintor08207-45859479284_108900/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),152 m²,3,2,2ª,En buen estado,XA541-2689,N/A,N/A,90 m²,N/A,,,,,,,,Gas natural,,,,,,1,,,,,,,,N/A,,,,,,,,,,,,,,,
"Piso en Carrer de Sant Pau, 96",IAD ESPAÑA,3.472 €/m²,257.000 €,74 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-50901467101_108700/,Anuncio actualizado el 19/02/2025,"A, A","A, A",valles_occidental_sud (BCN),74 m²,2,1,,,UVC882-31706,N/A,,74 m²,,Menos de 5 años,,,,,,N/A,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Centre-Cordelles,Engel & Völkers MMC Barcelona,4.346 €/m²,339.000 €,78 m²,https://www.pisos.com/comprar/apartamento-centre_cordelles-50862784045_101800/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),78 m²,3,2,1ª,,IF76306-I-00YZ1Z-W-02YGIO,N/A,N/A,,,Menos de 5 años,,,,,,,Central,N/A,,N/A,,,1,Propia,,,,,,,,,,,,,,,,,,,,,,
Piso en La Creu de Barbera,SBD IMMOBLES,2.440 €/m²,183.000 €,75 m²,https://www.pisos.com/comprar/piso-les_termes08204-51677970208_100500/,Anuncio actualizado el 03/02/2025,"E, F","E, F",valles_occidental_sud (BCN),75 m²,2,1,4ª,,SA723-11792/2605,,,74 m²,,Más de 50 años,Más de 100 €,,Parquet,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Casa en La Creu de Barbera,VALLES INMOBILIARIA,1.579 €/m²,357.000 €,226 m²,https://www.pisos.com/comprar/casa-la_creu_de_barbera08204-49251017773_100500/,Anuncio actualizado el 18/02/2025,"E, D","E, D",valles_occidental_sud (BCN),226 m²,5,2,,,SA4822-11647-/10724,,N/A,144 m²,,Entre 30 y 50 años,,,Gres,,,N/A,,,,,,Norte,1,,,,,,,,N/A,,,,,,,N/A,,,,,,,,
Casa en Sant Muç-Castellnou-Can Mir,Engel & Völkers MMC Barcelona,1.897 €/m²,558.000 €,294 m²,https://www.pisos.com/comprar/casa-sant_muc_castellnou_can_mir-43341211467_101800/,Anuncio actualizado el 21/05/2024,"E, E","E, E",valles_occidental_sud (BCN),294 m²,7,4,,,IF76306-I-00Y49D-W-02V9B1,,N/A,,,,,,,,,,Central,,,,,,,Propia,,,,,,,,736 m²,,Privado,,,,,,,,,,,,
Casa en Creu Alta,MB IMMOBLES,2.172 €/m²,239.000 €,110 m²,https://www.pisos.com/comprar/casa-la_creu_alta08208-39168531006_100500/,Anuncio actualizado el 20/05/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),110 m²,4,2,,,SA1627-V0585/5310,,N/A,95 m²,,Más de 50 años,,,Terrazo,,,,Gas natural,,,,,Este,,,,,,,,,N/A,,,,,,,,,,,,,,,
Ático en Carrer de Gurrea,PERITAX,3.390 €/m²,590.000 €,174 m²,https://www.pisos.com/comprar/atico-centre_covadonga_centre08202-49202380891_100500/,Anuncio actualizado el 28/12/2024,"E, E","E, E",valles_occidental_sud (BCN),174 m²,3,3,2ª,,SA730-G7102/2691,N/A,N/A,,,Entre 20 y 30 años,,,Parquet,,,N/A,Gas natural,,,,N/A,Sur,1,,1,,N/A,,,,N/A,,N/A,,N/A,,,N/A,,,,,,,,
Piso en La Creu de Barberà,PISOS BARBERA,1.611 €/m²,145.000 €,90 m²,https://www.pisos.com/comprar/piso-la_creu_de_barbera08204-45859726112_500678/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),90 m²,3,1,Bajo,A reformar,500678-024089,,,85 m²,,,,De sapelly,Parquet,Aluminio,,,Gas natural,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centre,VALLES INMOBILIARIA,3.160 €/m²,275.000 €,87 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-49241809987_100500/,Anuncio actualizado el 18/02/2025,"C, C","C, C",valles_occidental_sud (BCN),87 m²,3,2,1ª,,SA4822-11667-/10724,N/A,,75 m²,,Entre 10 y 20 años,,,Parquet,,,N/A,Central,,,,,Este,1,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Ca Noriac,FS FINQUES,2.027 €/m²,148.000 €,73 m²,https://www.pisos.com/comprar/piso-ca_noriac08207-50887656459_100500/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),73 m²,1,1,Bajo,,SA411-R1011/4962,,,50 m²,,Entre 10 y 20 años,,,,,,N/A,N/A,,,,,,,,,,N/A,,,,N/A,,,,,,,,,,,,,,,
Casa pareada en Carrer de la Segarra,HORIZON INMOBILIARIA BARCELONA,2.067 €/m²,645.000 €,312 m²,https://www.pisos.com/comprar/casa_pareada-sant_quirze_del_valles_centro_urbano-51715098200_524526/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),312 m²,3,3,,En buen estado,4524526-HIB-SANTQUIRZE,,N/A,255 m²,,Entre 20 y 30 años,,N/A,Gres,Aluminio,N/A,Frío y calor,Gas natural,N/A,N/A,N/A,,Sur,1,Comunitaria,Más de 2,N/A,N/A,N/A,N/A,N/A,,312 m²,,Privado,,,N/A,N/A,,,,Pareada,N/A,,,
"Piso en Carrer de Sant Pau, 92",PREMIER ESPAÑA,2.583 €/m²,372.000 €,144 m²,https://www.pisos.com/comprar/piso-centre_covadonga_centre08201-5172994349_109700/,Anuncio actualizado el 07/02/2025,"A, A","A, A",valles_occidental_sud (BCN),144 m²,3,2,,A estrenar,4992912-21710145,N/A,N/A,,,,,,,,,Frío y calor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Can  Gorgs 2,PISOS BARBERA,2.198 €/m²,598.000 €,272 m²,https://www.pisos.com/comprar/casa-barbera_del_valles_centro_urbano-39211783466_500678/,Anuncio actualizado el 10/02/2025,"E, E","E, E",valles_occidental_sud (BCN),272 m²,6,3,,En buen estado,500678-024022,,N/A,200 m²,,Entre 30 y 50 años,,De roble,Gres,Aluminio,N/A,Frío y calor,Gas natural,N/A,Salón de 25 m²,N/A,,Sur,1,Propia,1,,N/A,N/A,N/A,N/A,,422 m²,,Privado,,,N/A,,,,,,,,,
Piso en Concordia,NOVA FINQUES,1.726 €/m²,129.500 €,75 m²,https://www.pisos.com/comprar/piso-la_concordia08206-51677195996_100500/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_sud (BCN),75 m²,3,1,4ª,,SA3386-SBD050225/8710,,,70 m²,,Más de 50 años,,,,,,,,,,,N/A,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,
