nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Referencia,Terraza,Jardín,Piscina,Planta,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Aire acondicionado,Calefacción,Cocina equipada,Ascensor,Balcón,Orientación,Agua,Chimenea,Comedor,Garaje,Urbanizado,Puerta blindada,Trastero,Carpintería interior,Vidrios dobles,Carpintería exterior,Portero automático,Sistema de seguridad,Gas,Teléfono,Adaptado a personas con movilidad reducida,Soleado,Lavadero,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Armarios empotrados,Tipo de casa,No se aceptan mascotas,Interior,Amueblado,Luz
Chalet en Castellet i la Gornal,FREELANCE INMOBILIARIA,568 €/m²,100.000 €,176 m²,https://www.pisos.com/comprar/chalet-castellet_i_la_gornal_centro_urbano-49242857582_101800/,Anuncio actualizado el 04/02/2025,"D, D","D, D",alt_penedes (BCN),176 m²,,989 m²,4,2,Entre 10 y 20 años,IF76176-27636,N/A,Privado,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Casa en Vilobí del Penedès,FINQUES SIP,825 €/m²,330.000 €,400 m²,https://www.pisos.com/comprar/casa-vilobi_del_penedes_centro_urbano-44208733514_100500/,Anuncio actualizado el 20/02/2025,"D, D","D, D",alt_penedes (BCN),400 m²,390 m²,10.300 m²,7,2,Más de 50 años,SA5343-007384/9669,,,,,,,,,,,,,,,N/A,,,1,,,,,,,,,,,,,,,,,,,,,,
Piso en Passatge de la Ciutadella,Finques Pardas,Error al procesar precio m²,A consultar,1.260 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-38429250074_513967/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),1.260 m²,1.260 m²,,3,2,,513967-P4-000,N/A,,,Bajo,N/A,A estrenar,,Parquet,,N/A,N/A,N/A,N/A,,,,N/A,1,,,N/A,,N/A,Aluminio,N/A,N/A,,,,N/A,,,,,,,,,,
Piso en Poble Nou,FINQUES SIP,2.762 €/m²,268.000 €,97 m²,https://www.pisos.com/comprar/piso-vilafranca_del_penedes_poble_nou-48352882661_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),97 m²,90 m²,,4,2,Entre 20 y 30 años,SA5343-09991/9669,N/A,,,1ª,,,,Parquet,,Gas natural,,N/A,N/A,Sureste,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en L'Espirall,Hounting,1.700 €/m²,136.000 €,80 m²,https://www.pisos.com/comprar/piso-espirall-50063289249_100500/,Anuncio actualizado el 03/12/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),80 m²,,,3,1,,SA5364-2110/21100047/14,N/A,,,2ª,N/A,En buen estado,,,,,,N/A,,Norte,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Passatge de la Ciutadella, 10",VILOMARA &  ASSOCIATS,2.768 €/m²,229.800 €,83 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-35010825052_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),83 m²,68 m²,,3,2,Menos de 5 años,4414-023111,,,,1ª,N/A,A estrenar,,Parquet,,Gas natural,Abierta,N/A,N/A,Noroeste,,,"Enorme, 25m²",,,,,Lacada,Aislante,Aluminio,Videoportero,,,,N/A,N/A,Interior,,,,,,,,,
Chalet en Valldemar,FINQUES GIRÓ,1.004 €/m²,240.000 €,239 m²,https://www.pisos.com/comprar/chalet-castellet_i_la_gornal_centro_urbano-51727695283_100500/,Anuncio actualizado el 18/02/2025,"D, D","D, D",alt_penedes (BCN),239 m²,200 m²,676 m²,4,2,Entre 30 y 50 años,SA1197-0060-26/5887,N/A,N/A,Propia,,,,,Terrazo,,Eléctrica,,,,Sur,N/A,N/A,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de Tarragona,FINQUES SIP,2.201 €/m²,295.000 €,134 m²,https://www.pisos.com/comprar/piso-sant_julia-44178817781_100500/,Anuncio actualizado el 20/02/2025,"B, B","B, B",alt_penedes (BCN),134 m²,87 m²,,3,2,Menos de 5 años,SA5343-09392/9669,N/A,,,1ª,,,Entre 40 y 60 €,Parquet,N/A,N/A,,N/A,N/A,,N/A,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,
Casa en Carrer del Raval,Finques Pardas,1.002 €/m²,390.000 €,389 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-90045211754_513967/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),389 m²,309 m²,140 m²,2,1,,513967-C-0117,N/A,,,,,En buen estado,,,,,N/A,,,,,,N/A,1,,,,,,,,,,,,,N/A,N/A,,,,,,,,
Casa en calle Campanar,VILOMARA &  ASSOCIATS,1.727 €/m²,285.000 €,165 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-50928412142_441400/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),165 m²,70 m²,35 m²,3,2,Entre 10 y 20 años,4414-025025,N/A,,,,,En buen estado,,Gres,,Eléctrica,N/A,,,Este,,,N/A,1,N/A,N/A,,N/A,N/A,Aluminio,,,,,,,N/A,N/A,N/A,,,,,,,
Casa en Plana de Les Torres,FINQUES SIP,1.270 €/m²,230.000 €,181 m²,https://www.pisos.com/comprar/casa-torrelles_de_foix_centro_urbano-44255553953_100500/,Anuncio actualizado el 20/02/2025,"F, G","F, G",alt_penedes (BCN),181 m²,94 m²,2.102 m²,4,2,Entre 30 y 50 años,SA5343-09906/9669,N/A,N/A,Propia,,,,,Gres,N/A,N/A,,,,Suroeste,N/A,N/A,N/A,1,N/A,N/A,N/A,,,,,N/A,,,,,,,,,1,,,,,
Piso en Poble Nou,donpiso Central,2.086 €/m²,169.000 €,81 m²,https://www.pisos.com/comprar/piso-vilafranca_del_penedes_poble_nou-49195531036_109100/,Anuncio actualizado el 05/02/2025,"E, E","E, E",alt_penedes (BCN),81 m²,,,3,2,,FE38-288662,,,,1ª,,,Entre 60 y 80 €,Gres,,N/A,,N/A,N/A,Suroreste,,,,,,,N/A,,,Aluminio,,,Otra compañía,,,Por la tarde,,,,,,,,,,
Casa en Centre Vila,SAFTI ESPAÑA,1.226 €/m²,325.000 €,265 m²,https://www.pisos.com/comprar/casa-centre_vila-49185416238_100500/,Anuncio actualizado el 10/02/2025,"E, E","E, E",alt_penedes (BCN),265 m²,250 m²,,4,2,Más de 50 años,SA3541-REF_31954,N/A,,,,,,,,N/A,Gas natural,,N/A,,Noroeste,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Can Coral,FINQUES SIP,1.666 €/m²,265.000 €,159 m²,https://www.pisos.com/comprar/casa-torrelles_de_foix_centro_urbano-44186764175_100500/,Anuncio actualizado el 20/02/2025,"G, E","G, E",alt_penedes (BCN),159 m²,100 m²,931 m²,3,1,Entre 20 y 30 años,SA5343-009110/9669,,N/A,,,,,,,,N/A,,,,,N/A,N/A,,1,N/A,,N/A,,,,,N/A,,N/A,,,,,,,,,,,,
Piso en Carrer Espirall,FR-Immobiliària,1.470 €/m²,150.000 €,102 m²,https://www.pisos.com/comprar/piso-espirall-50055590628_514773/,Anuncio actualizado el 04/02/2025,"G, F","G, F",alt_penedes (BCN),102 m²,70 m²,,3,2,Más de 50 años,4514773-051023,,,,5ª,N/A,En buen estado,,Gres,,,Independiente,N/A,N/A,Sur,,,Con salida a balcón,,,N/A,,,N/A,Aluminio,N/A,,N/A,,,,,,,,,,,,,
"Piso en Plaça Europa, 1",Aliseda Inmobiliaria,1.004 €/m²,115.500 €,115 m²,https://www.pisos.com/comprar/piso-santa_margarida_i_els_monjos_centro_urbano-42507304560_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),115 m²,,,4,2,,AN1-ANT00020715814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Vilafranca del Penedès,FINQUES SIP,1.800 €/m²,270.000 €,150 m²,https://www.pisos.com/comprar/duplex-vilafranca_del_penedes_poble_nou-44203618709_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),150 m²,125 m²,,4,3,Entre 20 y 30 años,SA5343-009150/9669,N/A,,,Bajo,,,,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,1,,,,,
Dúplex en Carrer de Mallorca,VILOMARA &  ASSOCIATS,2.152 €/m²,198.000 €,92 m²,https://www.pisos.com/comprar/duplex-sant_sadurni_anoia_centro_urbano-40052319807_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),92 m²,92 m²,,3,2,Menos de 5 años,4414-024030,De 15m²,,,3ª,N/A,En buen estado,,Parquet,Frío y calor,N/A,Moderna,N/A,,Sur,,,Esquinero y luminoso,1,,,,Pino,Climalit,Aluminio,N/A,,,,,N/A,Independiente con lavadora y secadora,,,,N/A,,,,,
Casa en En El Centro de La Ciudad,donpiso Central,836 €/m²,469.000 €,561 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-36738847586_109100/,Anuncio actualizado el 14/02/2025,"E, D","E, D",alt_penedes (BCN),561 m²,326 m²,,5,2,,FE38-274992,,,,,,,,Gres,,N/A,,,,Norte,,,,,,,,,,Aluminio,,,Otra compañía,,,,,,,,,,,,,
Piso en En Pleno Centro de La Zona Peatonal,donpiso Central,2.434 €/m²,189.900 €,78 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-49211329200_109100/,Anuncio actualizado el 16/02/2025,"G, G","G, G",alt_penedes (BCN),78 m²,,,3,1,,FE38-288173,,,,1ª,Exterior calle,,,Parket,Con bomba de calor,,,,N/A,,,,,,,,,,,Aluminio,,,,,,Por la mañana,,,,,,,,,,
Casa en Carrer Merlot,Finques Penedès Marítim,491 €/m²,305.000 €,620 m²,https://www.pisos.com/comprar/casa-gelida_centro_urbano-28359031274_106000/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),620 m²,200 m²,3.200 m²,4,2,,4519242-0197,,,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Olesa de Bonesvalls,SAFTI ESPAÑA,1.959 €/m²,2.498.000 €,1.275 m²,https://www.pisos.com/comprar/finca_rustica-olesa_de_bonesvalls_centro_urbano-41716156215_100500/,Anuncio actualizado el 28/01/2025,"F, E","F, E",alt_penedes (BCN),1.275 m²,1.147 m²,,5,4,,SA3541-REF_26019,N/A,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Carrer del Presseguer,Aliseda Inmobiliaria,743 €/m²,73.600 €,99 m²,https://www.pisos.com/comprar/chalet-torrelles_de_foix_centro_urbano-34240765173_107000/,Anuncio actualizado el 24/05/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),99 m²,,,3,1,,AS1-51085239,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer d'Eivissa, 19",VILOMARA &  ASSOCIATS,2.682 €/m²,225.300 €,84 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-35065117743_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),84 m²,67 m²,,3,2,Menos de 5 años,4414-023106,,,,3ª,N/A,A estrenar,,Parquet,,Gas natural,Abierta,N/A,N/A,Sur,,,"Enorme, 26m²",,,,,Lacada,Aislante,Aluminio,Videoportero,,,,N/A,N/A,En cocina,,,,,,,,,
"Casa en Carrer de Baix, 25",VILOMARA &  ASSOCIATS,600 €/m²,150.000 €,250 m²,https://www.pisos.com/comprar/casa-sant_quinti_de_mediona_centro_urbano-51737165753_441400/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),250 m²,230 m²,1.547 m²,4,2,Más de 50 años,4414-025030,,Privado,,,,A reformar,,,,,,,,Sur,,,,,N/A,,,,,,,,,,,,,N/A,N/A,,,,,,,
Casa en Plana de Les Torres,FINQUES SIP,1.350 €/m²,162.000 €,120 m²,https://www.pisos.com/comprar/casa-torrelles_de_foix_centro_urbano-48389714159_100500/,Anuncio actualizado el 20/02/2025,"F, F","F, F",alt_penedes (BCN),120 m²,97 m²,1.428 m²,5,2,Entre 30 y 50 años,SA5343-009074/9669,N/A,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,
"Casa en calle Joan Fuste I Ortells, nº 30",VILOMARA &  ASSOCIATS,2.122 €/m²,469.000 €,221 m²,https://www.pisos.com/comprar/casa-sant_sadurni_anoia_centro_urbano-28342399753_441400/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),221 m²,187 m²,108 m²,4,3,,4414-025027,Jardin de 41m² y terraza de 19 m²,Privado,,,,A estrenar,,Parquet,,Gas natural,Espacio abierto,,,Suroeste,,,Espacio abierto,2,N/A,,,Lacada blanca,N/A,Aluminio,,,Natural,,N/A,,En planta baja,N/A,N/A,,1,,,,,
Casa en Torrelles de Foix,FR-Immobiliària,1.333 €/m²,168.000 €,126 m²,https://www.pisos.com/comprar/casa-torrelles_de_foix_centro_urbano-49208718000_103800/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),126 m²,,63 m²,3,2,,INB278-938-51012,,,,,,Reformado,,Gres,,Gas natural,N/A,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,
Casa en Vilobí del Penedès,FINQUES SIP,1.416 €/m²,850.000 €,600 m²,https://www.pisos.com/comprar/casa-vilobi_del_penedes_centro_urbano-44254295140_100500/,Anuncio actualizado el 20/02/2025,"G, E","G, E",alt_penedes (BCN),600 m²,550 m²,1.400 m²,6,5,Más de 50 años,SA5343-009021/9669,N/A,N/A,Propia,,,,,,N/A,N/A,,,,Sureste,N/A,N/A,,1,N/A,N/A,N/A,,,,,N/A,,N/A,,,,,,,,,,,N/A,
Casa en Vilobí del Penedès,FINQUES SIP,588 €/m²,530.000 €,900 m²,https://www.pisos.com/comprar/casa-vilobi_del_penedes_centro_urbano-48414386780_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),900 m²,700 m²,1.631 m²,9,6,Entre 30 y 50 años,SA5343-007940/9669,N/A,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Barceloneta,FINQUES SIP,2.872 €/m²,290.147 €,101 m²,https://www.pisos.com/comprar/piso-barceloneta-45032292967_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),101 m²,73 m²,,3,2,,SA5343-09939/9669,N/A,,Comunitaria,1ª,,,,,,N/A,,N/A,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,
Casa en Plana de Les Torres,FINQUES SIP,1.957 €/m²,137.000 €,70 m²,https://www.pisos.com/comprar/casa-torrelles_de_foix_centro_urbano-44229654366_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),70 m²,55 m²,1.018 m²,3,1,Más de 50 años,SA5343-009172/9669,,,,,,,,,,,,,,,,N/A,,1,,,,,,,,,,,,,,,,,,,,,N/A,
Casa en Can Castellví,FINQUES SIP,1.326 €/m²,305.000 €,230 m²,https://www.pisos.com/comprar/casa-font_rubi_centro_urbano-44225370346_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",alt_penedes (BCN),230 m²,127 m²,1.751 m²,7,3,Entre 30 y 50 años,SA5343-09537/9669,,N/A,Propia,,,,,Gres,,N/A,,,,,N/A,N/A,,1,N/A,N/A,,,,,,,,,,,,,,,,,,,N/A,
Piso en Passeig del Parc,VILOMARA &  ASSOCIATS,2.470 €/m²,168.000 €,68 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-51758900938_441400/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),68 m²,57 m²,,2,1,Entre 10 y 20 años,4414-025038,,Comunitario,Comunitaria,Bajo,N/A,En buen estado,,Gres,,Gas natural,N/A,N/A,,Sureste,,,N/A,1,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,N/A,N/A,N/A,,,,,,,,,
Chalet en Alto Penedés,IAD ESPAÑA,3.200 €/m²,480.000 €,150 m²,https://www.pisos.com/comprar/chalet-la_granada_centro_urbano-51720560287_108700/,Anuncio actualizado el 19/02/2025,"E, E","E, E",alt_penedes (BCN),150 m²,150 m²,399 m²,4,2,,UVC882-32125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Avenida Presseguer Polig.4 Parc.81,Aliseda Inmobiliaria,477 €/m²,52.000 €,109 m²,https://www.pisos.com/comprar/casa-torrelles_de_foix_centro_urbano-35878382948_107000/,Anuncio actualizado el 14/11/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),109 m²,,,3,2,,AS1-52928195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet adosado en Avinyonet del Penedès,FR-Immobiliària,1.705 €/m²,290.000 €,170 m²,https://www.pisos.com/comprar/chalet_adosado-avinyonet_del_penedes_centro_urbano-50063896505_514773/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),170 m²,167 m²,165 m²,4,2,Entre 20 y 30 años,4514773-51024,,Privado,,,,En buen estado,,Gres,Frío y calor,Radial,Independiente,,,Suroeste,,,Con salida a patio,2,N/A,N/A,,,N/A,Aluminio,,,,,,,Cubierto,N/A,N/A,,,,,,,
"Piso en Passatge de la Ciutadella, 10",VILOMARA &  ASSOCIATS,2.691 €/m²,228.800 €,85 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-35070854253_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),85 m²,67 m²,,3,2,Menos de 5 años,4414-023118,,,,3ª,N/A,A estrenar,,Parquet,,Gas natural,Abierta,N/A,N/A,Suroeste,,,"Enorme, 25 m²",,,,,Lacada,Aislante,Aluminio,Videoportero,,,,N/A,N/A,Interior,,,,,,,,,
Casa en Valldemar,FINQUES SIP,1.488 €/m²,250.000 €,168 m²,https://www.pisos.com/comprar/casa-castellet_i_la_gornal_centro_urbano-44193125947_100500/,Anuncio actualizado el 20/02/2025,"G, E","G, E",alt_penedes (BCN),168 m²,122 m²,689 m²,5,2,Entre 20 y 30 años,SA5343-009188/9669,N/A,,Propia,,,,,Gres,,N/A,,,,Sureste,N/A,N/A,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,N/A,
Piso en Carrer del Raval,Aliseda Inmobiliaria,1.911 €/m²,130.000 €,68 m²,https://www.pisos.com/comprar/piso-torrelles_de_foix_centro_urbano-35092799770_104500/,Anuncio actualizado el 31/12/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),68 m²,,,2,1,,ASR1-PDVSB294070,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Piso en Gelida,SAFTI ESPAÑA,2.071 €/m²,290.000 €,140 m²,https://www.pisos.com/comprar/piso-gelida_centro_urbano-45908579954_100500/,Anuncio actualizado el 17/12/2024,"E, D","E, D",alt_penedes (BCN),140 m²,125 m²,,5,3,Entre 20 y 30 años,SA3541-REF_30185,,,,2ª,,,,,,Eléctrica,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,N/A,
Casa en La Font del Bosc,FINQUES SUBIRANA,1.603 €/m²,147.500 €,92 m²,https://www.pisos.com/comprar/casa-mediona_centro_urbano-50900234692_100500/,Anuncio actualizado el 18/02/2025,"F, F","F, F",alt_penedes (BCN),92 m²,64 m²,666 m²,3,1,Más de 50 años,SA377-18870/1783,N/A,N/A,,,,,,Gres,,,,,,Sur,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Olesa de Bonesvalls,ECOSET SERVEIS IMMOBILIARIS,2.200 €/m²,165.000 €,75 m²,https://www.pisos.com/comprar/piso-olesa_de_bonesvalls_centro_urbano-50096779824_528389/,Anuncio actualizado el 19/02/2025,"E, E","E, E",alt_penedes (BCN),75 m²,63 m²,,3,1,Entre 30 y 50 años,4528389-OLE3887,7m²,,,Principal,N/A,En buen estado,Entre 20 y 40 €,Parquet,Frío y calor,Eléctrica,7m²,,,Sur,,,22m²,,,,,Haya,N/A,Aluminio,,,Butano,,,N/A,N/A,,,N/A,,,,,,
Piso en Carrer d'Antoni Mestres Jané,HIPOGES IBERIA,2.026 €/m²,200.600 €,99 m²,https://www.pisos.com/comprar/piso-les_clotes-45029193407_100700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),99 m²,80 m²,,,,Entre 10 y 20 años,SBRE-0116141,,,,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Sant Julià,FINQUES SIP,1.158 €/m²,168.000 €,145 m²,https://www.pisos.com/comprar/casa-sant_julia-44180361252_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),145 m²,140 m²,,3,1,Más de 50 años,SA5343-09841/9669,N/A,,,,,,,Terrazo,,N/A,,,,Este,N/A,,,,,,,,,,,,,,,,,,,,1,,,,,
Chalet en En El Pueblo,BEST HOUSE BARCELONA SANTS,1.005 €/m²,181.000 €,180 m²,https://www.pisos.com/comprar/chalet-mediona_centro_urbano-5882635408_100500/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),180 m²,180 m²,600 m²,4,2,Más de 50 años,SA431-616652/5661,,,,,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Alto Penedés,IAD ESPAÑA,2.171 €/m²,139.000 €,64 m²,https://www.pisos.com/comprar/piso-sant_quinti_de_mediona_centro_urbano-50901520068_108700/,Anuncio actualizado el 23/01/2025,"E, E","E, E",alt_penedes (BCN),64 m²,64 m²,,3,2,Entre 20 y 30 años,UVC882-31049,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en calle Bo Cal Farines, , Castellví de La Marca, Barcelona",MAYORCASA,2.250 €/m²,1.350.000 €,600 m²,https://www.pisos.com/comprar/casa-castellvi_de_la_marca_centro_urbano-44189628560_520271/,Anuncio actualizado el 28/05/2024,"E, E","E, E",alt_penedes (BCN),600 m²,400 m²,40.000 m²,6,4,Más de 50 años,4520271-104824106,N/A,Privado,Propia,,,En buen estado,,Gres,,Eléctrica,,,,Suroeste,,,,Más de 2,,,,,,Aluminio,,,N/A,,,,,,,,Más de 2,,,,,
Piso en calle Ronda Francesc Macia,Aliseda Inmobiliaria,1.494 €/m²,290.000 €,194 m²,https://www.pisos.com/comprar/piso-gelida_centro_urbano-48424735509_107000/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),194 m²,,,5,2,,AS1-VPA0200300813,N/A,,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Finca rústica en Sant Pere de Riudebitlles,IMMOMAX,Error al procesar precio m²,745.000 €,EP950-16471,https://www.pisos.com/comprar/finca_rustica-sant_pere_de_riudebitlles_centro_urbano-44254955558_109300/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),,,,,,,EP950-16471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Puigdalber,FINQUES SIP,1.200 €/m²,360.000 €,300 m²,https://www.pisos.com/comprar/casa-puigdalber_centro_urbano-44253509112_100500/,Anuncio actualizado el 20/02/2025,"G, E","G, E",alt_penedes (BCN),300 m²,214 m²,,4,2,Entre 30 y 50 años,SA5343-009170/9669,N/A,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Piso en La Girada,FINQUES SIP,2.263 €/m²,249.000 €,110 m²,https://www.pisos.com/comprar/piso-la_girada-47502438919_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),110 m²,98 m²,,4,1,Entre 10 y 20 años,SA5343-09968/9669,N/A,N/A,,4ª,,,,Gres,N/A,Gas natural,,N/A,N/A,,,,,1,,N/A,,,,,,,,,,,,,,,1,,,,,
Piso en calle Lleida,VILOMARA &  ASSOCIATS,1.576 €/m²,145.000 €,92 m²,https://www.pisos.com/comprar/piso-sant_quinti_de_mediona_centro_urbano-51758352409_441400/,Anuncio actualizado el 10/02/2025,"E, E","E, E",alt_penedes (BCN),92 m²,62 m²,,3,1,Entre 10 y 20 años,4414-025035,N/A,Comunitario,Comunitaria,2ª,N/A,En buen estado,,Parquet,,Eléctrica,N/A,N/A,N/A,,,,N/A,1,,N/A,N/A,N/A,N/A,Aluminio,N/A,N/A,,,,N/A,N/A,,,,,,,,,
Piso en Barceloneta,FINQUES SIP,2.574 €/m²,290.871 €,113 m²,https://www.pisos.com/comprar/piso-barceloneta-45049545401_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),113 m²,88 m²,,3,2,,SA5343-09938/9669,N/A,,,1ª,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Parlament, 7",Agencia no disponible,1.536 €/m²,146.000 €,95 m²,https://www.pisos.com/comprar/piso-vilafranca_del_penedes_poble_nou-50039620847_109800/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),95 m²,,,3,1,Más de 50 años,21675596,,,,4ª,N/A,A reformar,N/A,,,,,N/A,N/A,,,,,,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,
Piso en calle Baldomero Lostau,HIPOGES IBERIA,2.082 €/m²,202.000 €,97 m²,https://www.pisos.com/comprar/piso-les_clotes-45064514732_100700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),97 m²,79 m²,,,,,SBRE-0116133,,,,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
"Piso en Carrer d'Eivissa, 19",VILOMARA &  ASSOCIATS,2.888 €/m²,225.300 €,78 m²,https://www.pisos.com/comprar/piso-sant_sadurni_anoia_centro_urbano-35062391739_441400/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,alt_penedes (BCN),78 m²,66 m²,,3,2,Menos de 5 años,4414-023107,,,,3ª,N/A,A estrenar,,Parquet,,Gas natural,Abierta,N/A,N/A,Sur,,,"Enorme, 26m²",,,,,Lacada,Aislante,Aluminio,Videoportero,,,,N/A,N/A,En cocina,,,,,,,,,
